event,comp,ML_component_event_mean,ML_component_event_median,ML_component_event_std,n_station_component,header_ML_mean,distance_mean_km,distance_min_km,distance_max_km,amplitude_nm_mean,ML_component_event_std_filled0,ML_component_event_mean_minus_header
20080225230059_ML3.0,HMAX,3.5375515490474694,3.6066253430510713,0.2605143216323212,9,3.0,169.84070926242404,69.47908020019531,267.0560302734375,782.268820871498,0.2605143216323212,0.5375515490474694
20080514114559_ML4.7,HHE,4.924656984882546,4.90157600740044,0.25236128540040564,4,4.699999809265137,206.70849227905273,163.22299194335938,244.55178833007812,16142.51381139471,0.25236128540040564,0.22465717561740917
20080514114559_ML4.7,HHN,4.862980672255498,4.857543876771864,0.43628895286441716,4,4.699999809265137,206.70849227905273,163.22299194335938,244.55178833007812,17367.13767456018,0.43628895286441716,0.16298086299036108
20080514114559_ML4.7,HHZ,4.846249224370536,4.8636840032974,0.3082111441241914,4,4.699999809265137,206.70849227905273,163.22299194335938,244.55178833007812,13594.210244006033,0.3082111441241914,0.14624941510539902
20080514114559_ML4.7,HMAX,5.016553080773809,5.028030440943127,0.29076222911855093,4,4.699999809265137,206.70849227905273,163.22299194335938,244.55178833007812,20173.692549208274,0.29076222911855093,0.3165532715086723
20080514114959_ML3.5,HHE,4.876095759277516,4.732117114511162,0.2557601295696126,3,3.5,196.54615783691406,164.9890594482422,244.20352172851562,15073.330054011218,0.2557601295696126,1.3760957592775158
20080514114959_ML3.5,HHN,4.893916614265317,4.952422567563222,0.41200701865493033,3,3.5,196.54615783691406,164.9890594482422,244.20352172851562,17489.889694818045,0.41200701865493033,1.3939166142653168
20080514114959_ML3.5,HHZ,4.831987020849797,4.835351715667636,0.22840646730203557,3,3.5,196.54615783691406,164.9890594482422,244.20352172851562,12422.530058833376,0.22840646730203557,1.3319870208497973
20080514114959_ML3.5,HMAX,4.9835814338484115,4.952422567563222,0.2757061343560692,3,3.5,196.54615783691406,164.9890594482422,244.20352172851562,18923.566027611247,0.2757061343560692,1.4835814338484115
20080514141559_ML3.7,HHE,4.001464027010163,3.9500887297035296,0.2798392267637447,5,3.700000047683716,204.289453125,166.8405303955078,251.82615661621094,1965.9755392447357,0.2798392267637447,0.30146397932644753
20080514141559_ML3.7,HHN,4.018862503961172,3.9875479470213655,0.3490323555509616,5,3.700000047683716,204.289453125,166.8405303955078,251.82615661621094,2136.0356946719126,0.3490323555509616,0.318862456277456
20080514141559_ML3.7,HHZ,4.034151938234278,4.061660800931771,0.2429660719208563,5,3.700000047683716,204.289453125,166.8405303955078,251.82615661621094,1949.4550114358644,0.2429660719208563,0.3341518905505625
20080514141559_ML3.7,HMAX,4.081114682556299,4.178744392479651,0.3249937222765463,5,3.700000047683716,204.289453125,166.8405303955078,251.82615661621094,2360.732827486191,0.3249937222765463,0.3811146348725831
20080807190958_ML3.0,HHE,3.586393504101419,3.6711829227342094,0.5418368336921032,12,3.0,145.85064061482748,57.470314025878906,246.1316375732422,1645.6460373323016,0.5418368336921032,0.586393504101419
20080807190958_ML3.0,HHN,3.559169327462291,3.5608895288115656,0.3630398599136102,12,3.0,145.85064061482748,57.470314025878906,246.1316375732422,1115.0587924541449,0.3630398599136102,0.5591693274622909
20080807190958_ML3.0,HHZ,3.6211691706919407,3.681393153606913,0.34629295909671687,12,3.0,145.85064061482748,57.470314025878906,246.1316375732422,1243.7646114112642,0.34629295909671687,0.6211691706919407
20080807190958_ML3.0,HMAX,3.6910453899167184,3.7856850274725864,0.4073257578796107,12,3.0,145.85064061482748,57.470314025878906,246.1316375732422,1824.6242557710427,0.4073257578796107,0.6910453899167184
20080914233801_ML3.8,HHE,4.290470194171842,4.332739500989247,0.222949753862424,8,3.799999952316284,221.7903118133545,168.49563598632812,280.0488586425781,2978.816755825173,0.222949753862424,0.490470241855558
20080914233801_ML3.8,HHN,4.21358808313679,4.180486850205652,0.28571015562815893,8,3.799999952316284,221.7903118133545,168.49563598632812,280.0488586425781,2634.8328278390463,0.28571015562815893,0.4135881308205054
20080914233801_ML3.8,HHZ,4.15752865430314,4.106126387646974,0.23126450876583327,8,3.799999952316284,221.7903118133545,168.49563598632812,280.0488586425781,2405.273649466276,0.23126450876583327,0.3575287019868556
20080914233801_ML3.8,HMAX,4.355342185440332,4.3441024897487965,0.18540674063187693,8,3.799999952316284,221.7903118133545,168.49563598632812,280.0488586425781,3335.7489886949147,0.18540674063187693,0.5553422331240476
20081017213707_ML4.1,HHE,4.364409065703381,4.326209355787728,0.27726574939568943,13,4.099999904632568,199.93734506460336,105.9432144165039,278.5331726074219,4619.702959113732,0.27726574939568943,0.26440916107081236
20081017213707_ML4.1,HHN,4.328680370430273,4.273494135504105,0.18191170447226201,13,4.099999904632568,199.93734506460336,105.9432144165039,278.5331726074219,3783.5771930085007,0.18191170447226201,0.22868046579770507
20081017213707_ML4.1,HHZ,4.270572067969031,4.163507380300887,0.24651228962078467,13,4.099999904632568,199.93734506460336,105.9432144165039,278.5331726074219,3883.476265007868,0.24651228962078467,0.17057216333646252
20081017213707_ML4.1,HMAX,4.450448643605433,4.446510057163569,0.24588137279548425,13,4.099999904632568,199.93734506460336,105.9432144165039,278.5331726074219,5312.21489817083,0.24588137279548425,0.3504487389728643
20081019205705_ML3.1,HHE,3.3587394303177547,3.3234196933070024,0.10799004977413008,10,3.0999999046325684,159.66115951538086,51.93895721435547,283.31329345703125,886.6996103925874,0.10799004977413008,0.2587395256851863
20081019205705_ML3.1,HHN,3.416824861203718,3.4420951787308063,0.20029269332057897,10,3.0999999046325684,159.66115951538086,51.93895721435547,283.31329345703125,880.844139239796,0.20029269332057897,0.31682495657114984
20081019205705_ML3.1,HHZ,3.343610877943438,3.3866459983988357,0.19028370558208066,10,3.0999999046325684,159.66115951538086,51.93895721435547,283.31329345703125,861.9135495098859,0.19028370558208066,0.24361097331086956
