event,net,sta,ML_station_mean,ML_station_median,ML_station_std,n_horizontal_component,distance_km,distance_min_km,distance_max_km,header_ML,amplitude_h_nm_max,amplitude_h_nm_mean,amp_window_start,amp_window_end,s_pick,s_source,ML_formula,ML_HHE,ML_HHN,ML_HHZ,amp_nm_HHE,amp_nm_HHN,amp_nm_HHZ,ML_H_mean,ML_H_std,ML_Z,ML_Z_minus_H_mean,ML_station_minus_header,abs_ML_station_minus_header
20060226161229_ML3.5,TW,LCVB,3.4610487414902043,3.4610487414902043,0.049919481853637204,2,94.16203308105469,94.16203308105469,94.16203308105469,3.5,1649.6003315106038,1525.8549077983712,2006-02-26T16:13:04.419997,2006-02-26T16:13:37.674689,2006-02-26T16:13:04.419997,header,SEISAN_HUTTON_NM,3.4257503373581786,3.49634714562223,3.31519777755767,1402.1094840861388,1649.6003315106038,1086.9995571508073,3.4610487414902043,0.049919481853637204,3.31519777755767,-0.14585096393253405,-0.03895125850979575,0.03895125850979575
20060226161229_ML3.5,TW,MCVB,3.7072361658416804,3.7072361658416804,0.1726635947349818,2,138.942138671875,138.942138671875,138.942138671875,3.5,1897.4983426013173,1489.4639156115059,2006-02-26T16:13:18.940001,2006-02-26T16:14:07.528092,2006-02-26T16:13:18.940001,header,SEISAN_HUTTON_NM,3.585144567140529,3.829327764542832,3.6239491937429023,1081.4294886216942,1897.4983426013173,1182.5045879842446,3.7072361658416804,0.1726635947349818,3.6239491937429023,-0.08328697209877811,0.20723616584168036,0.20723616584168036
20060226161229_ML3.5,TW,TGVB,3.3848744979694856,3.3848744979694856,0.2688450930520089,2,42.78471374511719,42.78471374511719,42.78471374511719,3.5,5934.4871986402495,4203.614642333609,2006-02-26T16:12:49.139998,2006-02-26T16:13:03.423142,2006-02-26T16:12:49.139998,header,SEISAN_HUTTON_NM,3.5749766863552894,3.1947723095836817,3.354834002434571,5934.4871986402495,2472.7420860269685,3574.7075159406745,3.3848744979694856,0.2688450930520089,3.354834002434571,-0.030040495534914502,-0.11512550203051441,0.11512550203051441
20060226161229_ML3.5,TW,THVB,3.821462111599582,3.821462111599582,0.12082234146747851,2,294.2640380859375,294.2640380859375,294.2640380859375,3.5,501.6942173775265,420.10171840150394,2006-02-26T16:13:53.559996,2006-02-26T16:15:51.076025,2006-02-26T16:13:53.559996,header,SEISAN_HUTTON_NM,3.7360278146290913,3.9068964085700726,3.8585006915250295,338.5092194254814,501.6942173775265,448.7902138100851,3.821462111599582,0.12082234146747851,3.8585006915250295,0.03703857992544757,0.32146211159958193,0.32146211159958193
20060226161229_ML3.5,TW,TTVB,3.2441124098242526,3.2441124098242526,0.010034027960068399,2,109.70721435546875,109.70721435546875,109.70721435546875,3.5,739.9456910737389,728.0524551805879,2006-02-26T16:13:08.389998,2006-02-26T16:13:48.038143,2006-02-26T16:13:08.389998,header,SEISAN_HUTTON_NM,3.2512075390374324,3.237017280611073,3.1832690912921215,739.9456910737389,716.1592192874368,632.7926086804524,3.2441124098242526,0.010034027960068399,3.1832690912921215,-0.0608433185321311,-0.25588759017574736,0.25588759017574736
20060316162059_ML3.2,TW,BGVB,3.322005154426087,3.322005154426087,0.008621323965833127,2,232.5574951171875,232.5574951171875,232.5574951171875,3.200000047683716,224.75999139421992,221.64890746102753,2006-03-16T16:23:37.829002,2006-03-16T16:25:04.537330,2006-03-16T16:23:37.829002,header,SEISAN_HUTTON_NM,3.31590895778704,3.3281013510651336,3.197330576462071,218.53782352783514,224.75999139421992,166.32143837570698,3.322005154426087,0.008621323965833127,3.197330576462071,-0.12467457796401593,0.12200510674237108,0.12200510674237108
20060316162059_ML3.2,TW,DBVB,3.340076297220935,3.340076297220935,0.05561186938076153,2,162.72903442382812,162.72903442382812,162.72903442382812,3.200000047683716,509.46663744981004,467.2723485462275,2006-03-16T16:23:17.888999,2006-03-16T16:24:17.985023,2006-03-16T16:23:17.888999,header,SEISAN_HUTTON_NM,3.300752767267338,3.379399827174532,3.0627308323747338,425.0780596426449,509.46663744981004,245.7235350569334,3.340076297220935,0.05561186938076153,3.0627308323747338,-0.27734546484620104,0.14007624953721898,0.14007624953721898
20060316162059_ML3.2,TW,DHVB,3.256804091520272,3.256804091520272,0.05891547222587141,2,121.44208526611328,121.44208526611328,121.44208526611328,3.200000047683716,700.3066505906665,639.1808444723135,2006-03-16T16:23:06.958999,2006-03-16T16:23:50.460390,2006-03-16T16:23:06.958999,header,SEISAN_HUTTON_NM,3.2151445615925507,3.2984636214479934,3.295089703090918,578.0550383539605,700.3066505906665,694.8872326889273,3.256804091520272,0.05891547222587141,3.295089703090918,0.038285611570645806,0.05680404383655624,0.05680404383655624
20060316162059_ML3.2,TW,DSVB,3.5455758474682226,3.5455758474682226,0.12186952035466801,2,260.1788024902344,260.1788024902344,260.1788024902344,3.200000047683716,354.0469475431919,296.0602975538077,2006-03-16T16:23:45.999000,2006-03-16T16:25:22.951535,2006-03-16T16:23:45.999000,header,SEISAN_HUTTON_NM,3.6317506117309604,3.459401083205485,3.2346910614513797,354.0469475431919,238.07364756442354,141.90617829707446,3.5455758474682226,0.12186952035466801,3.2346910614513797,-0.3108847860168429,0.3455757997845068,0.3455757997845068
20060316162059_ML3.2,TW,HBVB,3.7168688212371848,3.7168688212371848,0.013652058669305474,2,195.8614501953125,195.8614501953125,195.8614501953125,3.200000047683716,798.5107948329177,781.1503068970044,2006-03-16T16:23:28.508995,2006-03-16T16:24:40.073300,2006-03-16T16:23:28.508995,header,SEISAN_HUTTON_NM,3.7072153579749623,3.7265222844994073,3.429240959960863,763.789818961091,798.5107948329177,402.7165401497906,3.7168688212371848,0.013652058669305474,3.429240959960863,-0.2876278612763219,0.5168687735534689,0.5168687735534689
