event,ML_event_mean,ML_event_median,ML_event_std,n_station,distance_min_km,distance_max_km,distance_mean_km,distance_median_km,header_ML_mean,header_ML_median,amplitude_h_nm_mean,ML_formula,ML_event_std_filled0,ML_event_std_error,ML_event_mean_minus_header,ML_event_median_minus_header,abs_ML_event_mean_minus_header
20080514114959_ML3.5,4.885006186771416,4.842269841037192,0.3182525339530542,3,164.9890594482422,244.20352172851562,196.54615783691406,180.44589233398438,3.5,3.5,16281.609874414631,SEISAN_HUTTON_NM,0.3182525339530542,0.18374318614807636,1.3850061867714158,1.3422698410371918,1.3850061867714158
20080514141559_ML3.7,4.010163265485668,4.083146169750508,0.3017583991388816,5,166.8405303955078,251.82615661621094,204.289453125,184.56503295898438,3.700000047683716,3.700000047683716,2051.0056169583245,SEISAN_HUTTON_NM,0.3017583991388816,0.13495045865121064,0.3101632178019518,0.3831461220667922,0.3101632178019518
20080807190958_ML3.0,3.5727814157818547,3.686904041119437,0.4280365034472999,12,57.470314025878906,246.1316375732422,145.85064061482748,155.79429626464844,3.0,3.0,1380.352414893223,SEISAN_HUTTON_NM,0.4280365034472999,0.12356349524414238,0.5727814157818547,0.6869040411194369,0.5727814157818547
20080914233801_ML3.8,4.252029138654316,4.227375234436323,0.22650292871772673,8,168.49563598632812,280.0488586425781,221.7903118133545,228.65930938720703,3.799999952316284,3.799999952316284,2806.82479183211,SEISAN_HUTTON_NM,0.22650292871772673,0.08008087842745888,0.4520291863380317,0.42737528212003895,0.4520291863380317
20081017213707_ML4.1,4.346544718066827,4.346202893168359,0.19361631892032988,13,105.9432144165039,278.5331726074219,199.93734506460336,217.15036010742188,4.099999904632568,4.099999904632568,4201.640076061116,SEISAN_HUTTON_NM,0.19361631892032988,0.053699505048756764,0.2465448134342587,0.24620298853579037,0.2465448134342587
20081019205705_ML3.1,3.387782145760736,3.3398562469130915,0.13451979359414395,10,51.93895721435547,283.31329345703125,159.66115951538086,172.03841400146484,3.0999999046325684,3.0999999046325684,883.7718748161918,SEISAN_HUTTON_NM,0.13451979359414395,0.042538893813322286,0.28778224112816764,0.2398563422805231,0.28778224112816764
20081117110359_ML3.2,3.5616606715167887,3.514771291949925,0.2462981271141733,8,65.5267562866211,275.8617858886719,173.42058181762695,176.8718719482422,3.200000047683716,3.200000047683716,938.690410322654,SEISAN_HUTTON_NM,0.2462981271141733,0.08707953793798909,0.36166062383307285,0.3147712442662094,0.36166062383307285
20081202004142_ML3.4,4.289200444953682,4.319758857433504,0.16464854245602642,8,163.8649139404297,274.66619873046875,215.26408576965332,215.48676300048828,3.4000000953674316,3.4000000953674316,3149.3316183440925,SEISAN_HUTTON_NM,0.16464854245602642,0.05821205044156872,0.8892003495862504,0.9197587620660723,0.8892003495862504
20081229194834_ML3.4,4.141947056614118,4.071673858327218,0.18902366204617882,8,136.05584716796875,296.5417785644531,214.5095672607422,220.51924896240234,3.4000000953674316,3.4000000953674316,2622.9638325354867,SEISAN_HUTTON_NM,0.18902366204617882,0.06682995661878363,0.7419469612466862,0.6716737629597862,0.7419469612466862
20090129043812_ML3.2,3.4332784433740686,3.4332784433740686,0.09978668569116249,2,153.9355010986328,233.01092529296875,193.47321319580078,193.47321319580078,3.200000047683716,3.200000047683716,447.37517975051395,SEISAN_HUTTON_NM,0.09978668569116249,0.07055984212435162,0.2332783956903528,0.2332783956903528,0.2332783956903528
20090201045220_ML3.3,3.939270230388666,3.9276810664615542,0.21991296927298956,7,115.23257446289062,293.5653381347656,212.87651933942522,215.2912139892578,3.299999952316284,3.299999952316284,1388.810710229347,SEISAN_HUTTON_NM,0.21991296927298956,0.08311928953915988,0.6392702780723818,0.6276811141452701,0.6392702780723818
20090308202736_ML2.8,3.439031581802228,3.174034842533946,0.6799201294605787,12,98.49159240722656,283.3891906738281,201.83857218424478,210.07010650634766,2.9666666189829507,2.799999952316284,1025.2663078545531,SEISAN_HUTTON_NM,0.6799201294605787,0.19627603488575515,0.4723649628192774,0.3740348902176618,0.4723649628192774
20090327144250_ML3.6,4.243574005007007,4.244159968679374,0.10535311999412689,8,104.13982391357422,264.5652770996094,194.9657859802246,209.11021423339844,3.5999999046325684,3.5999999046325684,3646.8878360811486,SEISAN_HUTTON_NM,0.10535311999412689,0.03724795278350358,0.6435741003744386,0.6441600640468055,0.6435741003744386
20090427221744_ML3.2,3.6802998171260515,3.6905904164977072,0.16573182111139248,6,179.5499267578125,287.9087219238281,249.43707275390625,266.0647430419922,3.200000047683716,3.200000047683716,527.3006366352564,SEISAN_HUTTON_NM,0.16573182111139248,0.06765973264418874,0.48029976944233566,0.49059036881399143,0.48029976944233566
20090505171825_ML3.1,3.435446641515624,3.4084207429796267,0.3069110733699963,7,155.68881225585938,291.0026550292969,230.85555158342635,232.87489318847656,3.0999999046325684,3.0999999046325684,408.08919994686573,SEISAN_HUTTON_NM,0.3069110733699963,0.11600148210698691,0.3354467368830556,0.30842083834705836,0.3354467368830556
20090519000206_ML3.2,3.474267275272304,3.483677575761854,0.21796768850333115,15,55.88132858276367,298.554931640625,177.7834050496419,181.1275177001953,3.200000047683716,3.200000047683716,781.984334252488,SEISAN_HUTTON_NM,0.21796768850333115,0.05627901517231516,0.274267227588588,0.28367752807813806,0.274267227588588
20090613053944_ML3.7,4.035479721843783,4.051334768550285,0.2887870839961488,6,160.29244995117188,294.8887634277344,241.70130157470703,255.88812255859375,3.700000047683716,3.700000047683716,1787.3375545987683,SEISAN_HUTTON_NM,0.2887870839961488,0.11789683334947176,0.33547967416006674,0.3513347208665696,0.33547967416006674
20090819022442_ML3.6,4.04041442375001,4.03315054864631,0.1511464600818295,8,121.00827026367188,284.170166015625,203.0901699066162,195.66319274902344,3.5999999046325684,3.5999999046325684,2077.6634783159143,SEISAN_HUTTON_NM,0.1511464600818295,0.05343834343810172,0.440414519117442,0.43315064401374137,0.440414519117442
20091001115640_ML3.3,3.9779841118619452,3.992482862926052,0.24492266212195332,6,165.4374542236328,271.4764709472656,223.73932393391928,225.22156524658203,3.299999952316284,3.299999952316284,1261.9299405352506,SEISAN_HUTTON_NM,0.24492266212195332,0.09998925810714579,0.677984159545661,0.6924829106097676,0.677984159545661
20091126044603_ML4.1,4.479561982537875,4.4832295209395365,0.24149971191018704,14,26.716838836669922,274.6352844238281,149.06174332754952,154.17391204833984,4.099999904632568,4.099999904632568,19069.42635200132,SEISAN_HUTTON_NM,0.24149971191018704,0.0645435129266093,0.37956207790530705,0.38322961630696817,0.37956207790530705
