event,net,sta,comp,distance_km,header_ML,ML_station_mean,ML_H_mean,ML_H_std,ML_Z,ML_Z_minus_H_mean,ML_station_minus_header,p_pick,p_label,p_source,p_source_component,disp_unit,vel_unit,remove_preP_mean_for_Pd,taup_smoothing_tau_sec,preP_noise_window_start,preP_noise_window_end,preP_noise_window_sec,preP_noise_npts_disp,preP_noise_npts_vel,preP_disp_mean_nm,preP_vel_mean_nmps,Pd_filter_applied,Pd_highpass_freq_Hz,Pd_highpass_corners,Pd_highpass_zerophase,preP_noise_absmax_nm,preP_noise_absmax_cm,preP_noise_rms_nm,preP_noise_rms_cm,Pd_3s_cm,Pd_peak_signed_3s_cm,Pd_peak_time_3s,Pd_peak_t_rel_3s_sec,tau_c_3s_sec,tau_p_max_3s_sec,tau_p_end_3s_sec,snr_absmax_3s,snr_rms_3s,npts_3s,Mpd_raw,Mpd_raw_minus_header,header_minus_Mpd_raw,Pd_extra_scale_factor,Pd_final_nm_to_cm_factor,Pd_3s_cm_calibrated,Mpd_calibrated,Mpd_calibrated_minus_header,header_minus_Mpd_calibrated
20220422111325_ML3.2,VN,VN05,HHZ,67.91394805908203,3.200000047683716,3.226864277258344,3.226864277258344,0.0360612741274384,3.211542868284395,-0.0153214089739486,0.0268642295746279,2022-04-22T11:14:45.769007,Pg,header,HHZ,nm,nm/s,True,1.0,2022-04-22T11:14:35.769007,2022-04-22T11:14:45.269007,9.5,951,951,-312.12725815685747,142.60719341081875,True,0.075,2,False,796.2324752291453,7.962324752291453e-05,454.5775552512872,4.545775552512872e-05,9.26034823439707e-05,9.26034823439707e-05,2022-04-22T11:14:45.948000,0.18,0.7278432236668516,18.741088262049946,0.7437981636763413,1.1630206657587112,2.037132746089502,301,2.667824809645452,-0.5321752380382638,0.5321752380382638,3.6035745791969416,3.6035745791969415e-07,0.0003337035549198456,3.431106458163374,0.2311064104796583,-0.2311064104796583
20220422111325_ML3.2,VN,VN08,HHZ,32.28508758544922,3.200000047683716,3.522165485699736,3.522165485699736,0.2234887048904538,3.269482381754549,-0.2526831039451873,0.3221654380160204,2022-04-22T11:14:40.699000,Pg,header,HHZ,nm,nm/s,True,1.0,2022-04-22T11:14:30.699000,2022-04-22T11:14:40.199000,9.5,951,951,1.981711624508094,0.745244069561052,True,0.075,2,False,20.504792139716265,2.0504792139716264e-06,7.101987229729533,7.101987229729532e-07,0.0001168482035577,0.0001168482035577,2022-04-22T11:14:42.838001,2.14,0.3596099342111847,0.4543304061836484,0.3861818401873166,56.985802519521805,164.52888435033327,301,2.198160524157169,-1.001839523526547,1.001839523526547,3.6035745791969416,3.6035745791969415e-07,0.0004210712159653573,2.961442172675091,-0.2385578750086248,0.2385578750086248
20220422111325_ML3.2,VN,VN10,HHZ,53.41872024536133,3.200000047683716,3.337930389657574,3.337930389657574,0.0119832557410037,3.370693640976582,0.0327632513190083,0.137930341973858,2022-04-22T11:14:43.549006,Pg,header,HHZ,nm,nm/s,True,1.0,2022-04-22T11:14:33.549006,2022-04-22T11:14:43.049006,9.5,951,951,-3.2438947000172917,-3.9183097942849487,True,0.075,2,False,39.75689441525104,3.975689441525104e-06,15.581489977609964,1.5581489977609963e-06,3.563670195530213e-05,3.563670195530213e-05,2022-04-22T11:14:43.648001,0.1,0.263730267015194,0.6877134980692549,0.2634215614142537,8.963653343514585,22.871177279265833,301,1.9028983008963678,-1.297101746787348,1.297101746787348,3.6035745791969416,3.6035745791969415e-07,0.0001284195132525447,2.66617994941429,-0.5338200982694259,0.5338200982694259
20220422111325_ML3.2,VN,VN15,HHZ,87.48501586914062,3.200000047683716,3.050771615398572,3.050771615398572,0.1682279343119448,3.239257796636572,0.1884861812379998,-0.1492284322851436,2022-04-22T11:14:49.709002,Pn,header,HHZ,nm,nm/s,True,1.0,2022-04-22T11:14:39.709002,2022-04-22T11:14:49.209002,9.5,951,951,-22.21114407901927,8.047051483682193,True,0.075,2,False,87.78153798174364,8.778153798174364e-06,27.90638990519697,2.790638990519697e-06,1.4866158113743328e-05,1.4866158113743328e-05,2022-04-22T11:14:50.148000,0.44,0.4476504804489887,4.264673598312292,0.3076806789516881,1.6935404021783165,5.327152012225996,301,1.7857455928194037,-1.4142544548643121,1.4142544548643121,3.6035745791969416,3.6035745791969415e-07,5.357130946900781e-05,2.549027241337326,-0.65097280634639,0.65097280634639
20220422111325_ML3.2,VN,VTVB,HHZ,152.65699768066406,3.200000047683716,3.5379373815399684,3.5379373815399684,0.2317994454454164,3.5964452321674862,0.0585078506275178,0.3379373338562526,2022-04-22T11:15:00.729006,P,header,HHZ,nm,nm/s,True,1.0,2022-04-22T11:14:50.729006,2022-04-22T11:15:00.229006,9.5,951,951,32.89777848335978,-3.428217451194718,True,0.075,2,False,218.94831887562373,2.1894831887562373e-05,128.30677978439135,1.2830677978439134e-05,2.8404565736572594e-05,-2.8404565736572594e-05,2022-04-22T11:15:03.129000,2.4,0.750537010636821,5.081375403637956,0.6198628946670793,1.2973182841704374,2.2138008439073955,301,2.6265337368361523,-0.5734663108475635,0.5734663108475635,3.6035745791969416,3.6035745791969415e-07,0.00010235797102144145,3.3898153853540745,0.18981533767035863,-0.18981533767035863
20220501120401_ML2.3,VN,DBVB,HHZ,56.03368377685547,2.299999952316284,2.510522405805659,2.510522405805659,0.0350990735788864,2.3063975227345654,-0.2041248830710937,0.210522453489375,2022-05-01T12:05:04.759004,Pg,header,HHZ,nm,nm/s,True,1.0,2022-05-01T12:04:54.759004,2022-05-01T12:05:04.259004,9.5,951,951,3.8253683101069345,13.236725218307813,True,0.075,2,False,117.0663062985136,1.170663062985136e-05,62.91593997243257,6.291593997243256e-06,1.9900639141536994e-05,1.9900639141536994e-05,2022-05-01T12:05:07.098000,2.34,1.1908075157784044,2.5761037823304855,1.3296708994435935,1.6999459341265366,3.1630520262840736,301,1.5950764871671015,-0.7049234651491827,0.7049234651491827,3.6035745791969416,3.6035745791969415e-07,7.171343732021435e-05,2.3583581356850236,0.058358183368739436,-0.058358183368739436
20220501120401_ML2.3,VN,MLVB,HHZ,18.875980377197266,2.299999952316284,2.6126462179941186,2.6126462179941186,0.0970012791398272,2.3866372823741555,-0.226008935619963,0.3126462656778344,2022-05-01T12:04:58.359002,Pg,header,HHZ,nm,nm/s,True,1.0,2022-05-01T12:04:48.359002,2022-05-01T12:04:57.859002,9.5,951,951,-9.075579019142529,11.209278020184094,True,0.075,2,False,98.15129591856832,9.815129591856833e-06,50.92176496262304,5.0921764962623045e-06,9.531797895697334e-05,-9.531797895697334e-05,2022-05-01T12:05:01.038001,2.68,0.1173931195148427,1.5874266030248405,0.1561304401164015,9.711331680842438,18.718514377287875,301,1.6379863064359843,-0.6620136458802999,0.6620136458802999,3.6035745791969416,3.6035745791969415e-07,0.00034348544590977816,2.4012679549539055,0.10126800263762137,-0.10126800263762137
20220501120401_ML2.3,VN,SPVB,HHZ,93.6384735107422,2.299999952316284,3.075732748921907,3.075732748921907,0.0347700579881806,3.5131180749565702,0.4373853260346632,0.7757327966056229,2022-05-01T12:05:13.728997,Pg,header,HHZ,nm,nm/s,True,1.0,2022-05-01T12:05:03.728997,2022-05-01T12:05:13.228997,9.5,951,951,75.89384507278864,143.26509616793317,True,0.075,2,False,1196.1283759243704,0.0001196128375924,551.9867839524682,5.5198678395246814e-05,2.530410370159734e-05,-2.530410370159734e-05,2022-05-01T12:05:16.650000,2.92,2.8105499030851,4.949978149613936,3.4516117955728465,0.2115500661209736,0.4584186512656848,301,2.15802329885806,-0.14197665345822408,0.14197665345822408,3.6035745791969416,3.6035745791969415e-07,9.118522484843942e-05,2.9213049473759813,0.6213049950596972,-0.6213049950596972
20220501120401_ML2.3,VN,TGVB,HHZ,49.654502868652344,2.299999952316284,2.3910648546123814,2.3910648546123814,0.0779285496350055,2.087769640244785,-0.3032952143675964,0.0910649022960972,2022-05-01T12:05:03.609002,Pg,header,HHZ,nm,nm/s,True,1.0,2022-05-01T12:04:53.609002,2022-05-01T12:05:03.109002,9.5,951,951,-6.10986803200456,-2.9298870634521097,True,0.075,2,False,114.50969152620496,1.1450969152620497e-05,62.54670141264428,6.254670141264428e-06,5.382844385028598e-06,5.382844385028598e-06,2022-05-01T12:05:03.809000,0.2,0.1311844872614275,2.497053566884798,0.087251717452965,0.4700776251586323,0.8606120328418176,301,0.7177073274723904,-1.5822926248438938,1.5822926248438938,3.6035745791969416,3.6035745791969415e-07,1.939748118966205e-05,1.4809889759903117,-0.8190109763259725,0.8190109763259725
20220519005706_ML2.5,VN,MLVB,HHZ,54.104373931884766,2.5,2.547300308065203,2.547300308065203,0.0563685875133316,2.301760350988368,-0.245539957076835,0.047300308065203,2022-05-19T00:58:13.378999,Pg,header,HHZ,nm,nm/s,True,1.0,2022-05-19T00:58:03.378999,2022-05-19T00:58:12.878999,9.5,951,951,7.417832298669147,0.9010984043953,True,0.075,2,False,65.56040113937391,6.556040113937391e-06,34.151022593568165,3.4151022593568164e-06,1.6517468733846647e-05,-1.6517468733846647e-05,2022-05-19T00:58:14.247999,0.87,0.223624855137363,0.3310565691518634,0.2488039730137214,2.5194276494331387,4.836595650566981,301,1.4554770934008547,-1.0445229065991453,1.0445229065991453,3.6035745791969416,3.6035745791969415e-07,5.952193044197007e-05,2.2187587419187778,-0.28124125808122225,0.28124125808122225
