event,ML_event_mean,ML_event_std,ML_event_median,n_station,distance_min_km,distance_max_km,distance_mean_km,header_ML_mean
20080514141559_ML3.7,10.462753759719657,0.410894664930598,10.601555669974907,5,166.8405303955078,251.82615661621094,204.289453125,3.700000047683716
20080807190958_ML3.0,9.965991728700178,0.3604251853605068,9.957004724732812,12,57.470314025878906,246.1316375732422,145.85064061482748,3.0
20080914233801_ML3.8,10.429805654841019,0.24553327125277713,10.407984835304173,8,168.49563598632812,280.0488586425781,221.7903118133545,3.799999952316284
20081017213707_ML4.1,10.950868087636987,0.30878913737397273,10.810970375006656,13,105.9432144165039,278.5331726074219,199.93734506460336,4.099999904632568
20081019205705_ML3.1,9.932752160897307,0.24979032335915388,9.947397473006149,10,51.93895721435547,283.31329345703125,159.66115951538086,3.0999999046325684
20081117110359_ML3.2,10.337110361447568,0.25986291315031573,10.398755601336912,8,65.5267562866211,275.8617858886719,173.42058181762695,3.200000047683716
20081202004142_ML3.4,10.728616044311888,0.2940049823571234,10.751710859102037,8,163.8649139404297,274.66619873046875,215.26408576965332,3.4000000953674316
20081229194834_ML3.4,10.443704919371909,0.23625304927688778,10.381590363189089,8,136.05584716796875,296.5417785644531,214.5095672607422,3.4000000953674316
20090129043812_ML3.2,9.968431771264102,0.43344683254689875,9.968431771264102,2,153.9355010986328,233.01092529296875,193.47321319580078,3.200000047683716
20090201045220_ML3.3,10.17503673009499,0.2200510287071859,10.169527573297394,7,115.23257446289062,293.5653381347656,212.87651933942522,3.299999952316284
20090308202736_ML2.8,10.014651196262092,0.624192895805653,9.783274833403905,12,98.49159240722656,283.3891906738281,201.83857218424478,2.9666666189829507
20090327144250_ML3.6,10.64344687450397,0.22810966764081358,10.56735487953669,8,104.13982391357422,264.5652770996094,194.9657859802246,3.5999999046325684
20090427221744_ML3.2,10.108474985909744,0.3871098610971846,9.971758096276488,6,179.5499267578125,287.9087219238281,249.43707275390625,3.200000047683716
20090505171825_ML3.1,9.969161183234519,0.41732592107659217,10.161222283826394,7,155.68881225585938,291.0026550292969,230.85555158342635,3.0999999046325684
20090519000206_ML3.2,10.150875529513232,0.32506418296517664,10.166195568939969,15,55.88132858276367,298.554931640625,177.7834050496419,3.200000047683716
20090613053944_ML3.7,10.307613988762272,0.5232689283097256,10.107133263925652,6,160.29244995117188,294.8887634277344,241.70130157470703,3.700000047683716
