event,net,sta,comp,file,distance_km,header_ML,ML_component,origin_time,p_pick,p_source,s_pick,s_source,surface_pick,amp_window_start,amp_window_end,amp_window_sec,peak_time,peak_signed_input_unit,amplitude_raw_input_unit,amplitude_mm,input_amplitude_to_mm,npts_window
20180108232645_ML2.9,RM,SLV,HHE,20180108232645_ML2.9_RM_SLV_HHE.SAC,77.90694427490234,2.9000000953674316,9.143364912960656,2018-01-08T23:27:02.518000,2018-01-08T23:27:14.503684,theory,2018-01-08T23:27:24.777127,theory,2018-01-08T23:27:54.455963,2018-01-08T23:27:24.777127,2018-01-08T23:27:52.455963,27.678836,2018-01-08T23:27:41.588000,2020.5576171875,2020.5576171875,2020557.6171875,1000.0,2769
20180108232645_ML2.9,RM,SLV,HHN,20180108232645_ML2.9_RM_SLV_HHN.SAC,77.90694427490234,2.9000000953674316,9.187565108697985,2018-01-08T23:27:02.518000,2018-01-08T23:27:14.503684,theory,2018-01-08T23:27:24.777127,theory,2018-01-08T23:27:54.455963,2018-01-08T23:27:24.777127,2018-01-08T23:27:52.455963,27.678836,2018-01-08T23:27:41.868000,2237.028076171875,2237.028076171875,2237028.076171875,1000.0,2769
20180108232645_ML2.9,VN,CCA,HHE,20180108232645_ML2.9_VN_CCA_HHE.SAC,76.19749450683594,2.9000000953674316,9.407278725958992,2018-01-08T23:27:03.180000,2018-01-08T23:27:17.559997,header,2018-01-08T23:27:28.889997,header,2018-01-08T23:27:53.978329,2018-01-08T23:27:28.889997,2018-01-08T23:27:51.978329,23.088332,2018-01-08T23:27:44.500000,-3830.992431640625,3830.992431640625,3830992.431640625,1000.0,2310
20180108232645_ML2.9,VN,CCA,HHN,20180108232645_ML2.9_VN_CCA_HHN.SAC,76.19749450683594,2.9000000953674316,9.463325256973697,2018-01-08T23:27:03.180000,2018-01-08T23:27:17.559997,header,2018-01-08T23:27:28.889997,header,2018-01-08T23:27:53.978329,2018-01-08T23:27:28.889997,2018-01-08T23:27:51.978329,23.088332,2018-01-08T23:27:43.630000,-4358.70849609375,4358.70849609375,4358708.49609375,1000.0,2310
20180108232645_ML2.9,VN,MLVB,HHE,20180108232645_ML2.9_VN_MLVB_HHE.SAC,78.0438003540039,2.9000000953674316,9.70051019216605,2018-01-08T23:27:07.878000,2018-01-08T23:27:19.884739,theory,2018-01-08T23:27:30.176229,theory,2018-01-08T23:27:59.907201,2018-01-08T23:27:30.176229,2018-01-08T23:27:57.907201,27.730972,2018-01-08T23:27:43.228000,7269.62109375,7269.62109375,7269621.09375,1000.0,2774
20180108232645_ML2.9,VN,MLVB,HHN,20180108232645_ML2.9_VN_MLVB_HHN.SAC,78.0438003540039,2.9000000953674316,9.691976728599467,2018-01-08T23:27:07.878000,2018-01-08T23:27:19.884739,theory,2018-01-08T23:27:30.176229,theory,2018-01-08T23:27:59.907201,2018-01-08T23:27:30.176229,2018-01-08T23:27:57.907201,27.730972,2018-01-08T23:27:42.978000,7128.17431640625,7128.17431640625,7128174.31640625,1000.0,2774
20180108232645_ML2.9,VN,NNU,HHE,20180108232645_ML2.9_VN_NNU_HHE.SAC,90.75377655029297,2.9000000953674316,9.193059079848172,2018-01-08T23:27:02.989000,2018-01-08T23:27:16.951119,theory,2018-01-08T23:27:28.559992,header,2018-01-08T23:28:03.491517,2018-01-08T23:27:28.559992,2018-01-08T23:28:01.491517,32.931526,2018-01-08T23:27:50.959000,-1808.442138671875,1808.442138671875,1808442.138671875,1000.0,3294
20180108232645_ML2.9,VN,NNU,HHN,20180108232645_ML2.9_VN_NNU_HHN.SAC,90.75377655029297,2.9000000953674316,9.18906246798422,2018-01-08T23:27:02.989000,2018-01-08T23:27:16.951119,theory,2018-01-08T23:27:28.559992,header,2018-01-08T23:28:03.491517,2018-01-08T23:27:28.559992,2018-01-08T23:28:01.491517,32.931526,2018-01-08T23:27:45.960000,-1791.876220703125,1791.876220703125,1791876.220703125,1000.0,3294
20180108232645_ML2.9,VN,SPVB,HHE,20180108232645_ML2.9_VN_SPVB_HHE.SAC,131.34738159179688,2.9000000953674316,9.435644707697007,2018-01-08T23:27:11.310000,2018-01-08T23:27:31.517290,theory,2018-01-08T23:27:50.200000,header,2018-01-08T23:28:38.874921,2018-01-08T23:27:50.200000,2018-01-08T23:28:36.874921,46.674922,2018-01-08T23:28:01.220000,-1757.7227783203125,1757.7227783203125,1757722.7783203125,1000.0,4668
20180108232645_ML2.9,VN,SPVB,HHN,20180108232645_ML2.9_VN_SPVB_HHN.SAC,131.34738159179688,2.9000000953674316,9.368310922373338,2018-01-08T23:27:11.310000,2018-01-08T23:27:31.517290,theory,2018-01-08T23:27:50.200000,header,2018-01-08T23:28:38.874921,2018-01-08T23:27:50.200000,2018-01-08T23:28:36.874921,46.674922,2018-01-08T23:28:02.609000,-1505.277587890625,1505.277587890625,1505277.587890625,1000.0,4669
