event,net,sta,comp,distance_km,header_ML,ML_station_mean,ML_H_mean,ML_H_std,ML_Z,ML_Z_minus_H_mean,ML_station_minus_header,p_pick,p_label,p_source,p_source_component,disp_unit,vel_unit,remove_preP_mean_for_Pd,taup_smoothing_tau_sec,preP_noise_window_start,preP_noise_window_end,preP_noise_window_sec,preP_noise_npts_disp,preP_noise_npts_vel,preP_disp_mean_nm,preP_vel_mean_nmps,Pd_filter_applied,Pd_highpass_freq_Hz,Pd_highpass_corners,Pd_highpass_zerophase,preP_noise_absmax_nm,preP_noise_absmax_cm,preP_noise_rms_nm,preP_noise_rms_cm,Pd_3s_cm,Pd_peak_signed_3s_cm,Pd_peak_time_3s,Pd_peak_t_rel_3s_sec,tau_c_3s_sec,tau_p_max_3s_sec,tau_p_end_3s_sec,snr_absmax_3s,snr_rms_3s,npts_3s,Mpd_Wu_3s,Mpd_Wu_3s_minus_header_ML,header_ML_minus_Mpd_Wu_3s
20150919102101_M3.1,VN,TGVB,HHZ,56.17161560058594,3.0999999046325684,3.4003355174889656,3.4003355174889656,0.1086676314402785,3.5261399033446645,0.1258043858556989,0.3003356128563972,2015-09-19T10:21:11.107990,P,header,HHN,nm,nm/s,True,1.0,2015-09-19T10:21:01.107990,2015-09-19T10:21:10.607990,9.5,697,697,1.2542472170446548,-0.11079293351860059,True,0.075,2,False,4.203425142947247,4.203425142947247e-06,2.6034736681260364,2.6034736681260363e-06,8.61057451304144e-05,8.61057451304144e-05,2015-09-19T10:21:13.368000,2.2600000000000002,0.19572822612117155,0.45461237182559816,0.22046179621890702,20.4846624365103,33.07340734211949,301,2.4692694005890683,-0.6307305040435001,0.6307305040435001
20150924013925_M3.0,VN,MLAV,HHZ,62.90781021118164,3.0999999046325684,3.0133625365252232,3.0133625365252232,0.1380519344896104,2.7357288330148792,-0.277633703510344,-0.0866373681073451,2015-09-24T01:39:36.529999,Pg,header,HHN,nm,nm/s,True,1.0,2015-09-24T01:39:26.529999,2015-09-24T01:39:36.029999,9.5,951,951,-7.370341976409075,0.4152281731978337,True,0.075,2,False,79.075850688062,7.9075850688062e-05,38.011494566234624,3.8011494566234624e-05,0.00026996178892287363,0.00026996178892287363,2015-09-24T01:39:38.388000,1.86,0.13547508881091275,2.903896916548549,0.13211292681467404,3.413959971013369,7.102109296241118,301,3.242276151002881,0.14227624637031244,-0.14227624637031244
20151214080448_M3.2,VN,TGVB,HHZ,151.59075927734375,3.200000047683716,4.163063154570304,4.163063154570304,0.2515155305112902,4.174386056157501,0.0113229015871967,0.9630631068865884,2015-12-14T08:05:15.119998,Pg,header,HHN,nm,nm/s,True,1.0,2015-12-14T08:05:05.119998,2015-12-14T08:05:14.619998,9.5,951,951,0.0785697990810779,-0.47318428892176045,True,0.075,2,False,8.873851538082883,8.873851538082883e-06,2.1933992581932893,2.193399258193289e-06,0.00028987268343909107,0.00028987268343909107,2015-12-14T08:05:17.708000,2.59,0.891871618636622,1.284102457065133,0.887363623401544,32.66593791828475,132.15682569249168,301,4.00389294311842,0.8038928954347044,-0.8038928954347044
20151228062903_M3.4,VN,MLAV,HHZ,47.5050163269043,3.4000000953674316,3.893092643895355,3.893092643895355,0.1029802132472565,3.5607796723140464,-0.3323129715813091,0.4930925485279238,2015-12-28T06:29:12.349001,Pg,header,HHN,nm,nm/s,True,1.0,2015-12-28T06:29:02.349001,2015-12-28T06:29:11.849001,9.5,951,951,7.028845307850606,8.908065721717335,True,0.075,2,False,127.43663218564298,0.00012743663218564298,66.42471096940567,6.642471096940566e-05,0.0006071120208657729,0.0006071120208657729,2015-12-28T06:29:14.287001,1.94,0.19495534231058526,0.3544329071625227,0.1842478916475397,4.7640306437270254,9.139851901582238,301,3.4951619938947003,0.09516189852726864,-0.09516189852726864
20151228062903_M3.4,VN,TGVB,HHZ,24.737552642822266,3.4000000953674316,3.784014045621825,3.784014045621825,0.0279936049521693,3.700053889634167,-0.0839601559876577,0.3840139502543929,2015-12-28T06:29:08.929003,Pg,header,HHE,nm,nm/s,True,1.0,2015-12-28T06:28:58.929003,2015-12-28T06:29:08.429003,9.5,951,951,0.3178050901820758,0.7636968175461489,True,0.075,2,False,25.692346769918945,2.5692346769918943e-05,11.040978250467457,1.1040978250467457e-05,0.002402298919237105,-0.002402298919237105,2015-12-28T06:29:10.388000,1.46,0.45169599535436405,0.5186472155047184,0.4534713801626361,93.50251032925335,217.58026007662824,301,3.780530405194723,0.3805303098272912,-0.3805303098272912
20160213172935_M3.0,VN,TGVB,HHZ,219.89048767089844,3.0,3.7641303481855224,3.7641303481855224,0.055714459504486,3.623256751163552,-0.1408735970219701,0.7641303481855224,2016-02-13T17:30:12.952494,P,header,HHE,nm,nm/s,True,1.0,2016-02-13T17:30:02.952494,2016-02-13T17:30:12.452494,9.5,951,951,-0.5646645036745772,0.8046443030496175,True,0.075,2,False,17.821610230468206,1.7821610230468205e-05,7.2854805519975425,7.2854805519975425e-06,3.8443235952972334e-05,3.8443235952972334e-05,2016-02-13T17:30:15.398000,2.45,0.648549526177396,2.0736784053723074,0.6553877668826428,2.15711349624564,5.276691863851304,301,3.1051628650380243,0.1051628650380243,-0.1051628650380243
20160803063422_M3.3,VN,DBVB,HHZ,80.93386840820312,3.299999952316284,3.2167709044183868,3.2167709044183868,0.1333410682634997,3.142816810921391,-0.0739540934969955,-0.0832290478978974,2016-08-03T06:34:36.849001,Pg,header,HHN,nm,nm/s,True,1.0,2016-08-03T06:34:26.849001,2016-08-03T06:34:36.349001,9.5,951,951,-15.963687899932307,-1.8692324188020453,True,0.075,2,False,150.62447321661017,0.00015062447321661016,73.29911481189323,7.329911481189323e-05,0.0006031079446502674,0.0006031079446502674,2016-08-03T06:34:37.218000,0.37,0.24902373007455209,3.3152138831140143,0.29908908420747937,4.004050150488822,8.228038581339177,301,3.9269309656129936,0.6269310132967094,-0.6269310132967094
20160803063422_M3.3,VN,TGVB,HHZ,53.53642272949219,3.299999952316284,3.129422742587001,3.129422742587001,0.0696634066225363,3.3130419940841813,0.1836192514971801,-0.170577209729283,2016-08-03T06:34:31.339999,Pg,header,HHE,nm,nm/s,True,1.0,2016-08-03T06:34:21.339999,2016-08-03T06:34:30.839999,9.5,951,951,-0.6330368052172997,-0.2560774793667831,True,0.075,2,False,35.106069293416056,3.5106069293416056e-05,15.182078142524563,1.5182078142524562e-05,0.00029361785854187207,0.00029361785854187207,2016-08-03T06:34:33.698000,2.36,0.1614135132251693,0.31333858550818033,0.16519026231449854,8.363734945311535,19.33976730889409,301,3.1603764853780945,-0.13962346693818972,0.13962346693818972
20160826152318_M3.0,RM,SLV,HHZ,89.46089172363281,3.0,2.5740540331291655,2.5740540331291655,0.0513111857033597,2.48643812715696,-0.0876159059722052,-0.4259459668708345,2016-08-26T15:23:32.759940,P,header,HHZ,nm,nm/s,True,1.0,2016-08-26T15:23:22.759940,2016-08-26T15:23:32.259940,9.5,951,951,-8.612382938987606,6.658711760922051,True,0.075,2,False,55.20332013554815,5.520332013554814e-05,26.37075180355936,2.637075180355936e-05,7.438560020483558e-05,7.438560020483558e-05,2016-08-26T15:23:33.968000,1.21,0.5621476214793373,2.656272953713323,0.4340332975079649,1.347484173455267,2.8207614541651207,301,2.762736601502157,-0.23726339849784317,0.23726339849784317
20160826152318_M3.0,VN,DBVB,HHZ,77.03630828857422,3.0,2.922491204611775,2.922491204611775,0.0352746530981853,2.5801089440072236,-0.3423822606045514,-0.0775087953882249,2016-08-26T15:23:32.779001,Pg,header,HHE,nm,nm/s,True,1.0,2016-08-26T15:23:22.779001,2016-08-26T15:23:32.279001,9.5,951,951,-1.5143321783689556,4.073262008319817,True,0.075,2,False,120.06122830521979,0.00012006122830521978,66.21754838323231,6.62175483832323e-05,0.00011472393790126275,-0.00011472393790126275,2016-08-26T15:23:35.277001,2.5,0.23792747513558576,2.4114055115753357,0.2288655368083965,0.9555452623690592,1.732530736977772,301,2.898433252570905,-0.1015667474290951,0.1015667474290951
20160826152318_M3.0,VN,LAVB,HHZ,212.70236206054688,3.0,3.0360973160070763,3.0360973160070763,0.1547242302169939,3.0865240971014885,0.0504267810944121,0.0360973160070763,2016-08-26T15:23:54.779001,Pg,header,HHE,nm,nm/s,True,1.0,2016-08-26T15:23:44.779001,2016-08-26T15:23:54.279001,9.5,951,951,4.258778989244251,-14.601594810756788,True,0.075,2,False,125.73853657547946,0.00012573853657547946,46.898219136851566,4.6898219136851566e-05,6.998951179524244e-05,-6.998951179524244e-05,2016-08-26T15:23:54.868000,0.09,0.4569025294027652,4.54528104392477,0.37823792052554406,0.5566273769476275,1.4923703518679299,301,3.4347354587937557,0.43473545879375575,-0.43473545879375575
