event,header_ML_mean,ML_ref_mean,ML_ref_median,ML_ref_std,n_station,distance_km_min,distance_km_max,distance_km_mean,Pd_2s_nm_mean,Pd_2s_nm_median,Pd_2s_nm_std,tau_c_2s_sec_mean,tau_c_2s_sec_median,tau_c_2s_sec_std,tau_p_max_2s_sec_mean,tau_p_max_2s_sec_median,tau_p_max_2s_sec_std,tau_p_end_2s_sec_mean,tau_p_end_2s_sec_median,tau_p_end_2s_sec_std,snr_absmax_2s_mean,snr_absmax_2s_median,snr_absmax_2s_std,snr_rms_2s_mean,snr_rms_2s_median,snr_rms_2s_std,Pd_3s_nm_mean,Pd_3s_nm_median,Pd_3s_nm_std,tau_c_3s_sec_mean,tau_c_3s_sec_median,tau_c_3s_sec_std,tau_p_max_3s_sec_mean,tau_p_max_3s_sec_median,tau_p_max_3s_sec_std,tau_p_end_3s_sec_mean,tau_p_end_3s_sec_median,tau_p_end_3s_sec_std,snr_absmax_3s_mean,snr_absmax_3s_median,snr_absmax_3s_std,snr_rms_3s_mean,snr_rms_3s_median,snr_rms_3s_std,Pd_5s_nm_mean,Pd_5s_nm_median,Pd_5s_nm_std,tau_c_5s_sec_mean,tau_c_5s_sec_median,tau_c_5s_sec_std,tau_p_max_5s_sec_mean,tau_p_max_5s_sec_median,tau_p_max_5s_sec_std,tau_p_end_5s_sec_mean,tau_p_end_5s_sec_median,tau_p_end_5s_sec_std,snr_absmax_5s_mean,snr_absmax_5s_median,snr_absmax_5s_std,snr_rms_5s_mean,snr_rms_5s_median,snr_rms_5s_std
20200219092617_ML3.3,3.299999952316284,3.5911691107206307,3.583071718715703,0.19758109400673454,7,61.30755233764648,264.4635009765625,161.46987642560686,235.6807942848789,252.60549572749272,117.6120278847975,0.8836686104835684,0.8201109952203133,0.8409930146608657,2.4380300387375655,1.9561660631101843,2.1868438412905906,0.9490430556174722,0.6005555214754275,1.0783717915421782,1.3654478150990028,1.283009926509951,0.671996563571262,3.001736166325602,2.8380678438098967,1.6052927935574521,290.10695256572035,252.60549572749272,176.59120587181826,1.201153304495511,0.5548404809092168,1.5208397661207038,2.9053517660804116,2.5993047016806954,2.464166384160318,1.5889897054056348,0.46078113760098177,2.363145071666975,1.6253534122035675,1.6314804309574311,0.5891990038879901,3.5135577776782445,3.3578469410100205,1.4064501883404041,297.9028040584791,279.5619676440453,181.6211269861116,1.4188986963848074,0.4880654494022157,2.10917094160875,3.316038155808445,2.5993047016806954,3.1625207881993,1.679413843203291,0.3450407454728999,2.9849161968851434,1.6566393984902394,1.6314804309574311,0.573254214239651,3.5896877619996017,3.3578469410100205,1.3910528391742827
20200228181235_ML4.0,4.0,4.65846187563743,4.610112537264919,0.1609240585239538,7,174.12733459472656,425.9822692871094,311.4201333182199,789.8874126940102,207.2090342739591,864.6511725030895,10.53178166790846,1.312630962147849,21.9133581748039,31.35991339711696,8.60518509047083,55.88402221997888,11.188550141599547,1.3728466633553602,22.977553197218267,2.3307528917088467,1.4650116856487747,2.595944714710612,5.999992054543007,2.8768481253436797,8.493383387665952,823.0341232653869,207.2090342739591,882.389897175092,10.421868950543116,1.4170679166339593,21.15907547816833,31.41120939649365,8.60518509047083,55.85246931200466,10.527020188434422,1.4901216073769847,20.886100375884876,2.3903932053272574,1.497164571147391,2.5695996508942986,6.130937407668445,2.8768481253436797,8.440734927802557,878.8481378208746,243.03941140716384,911.9977111485964,11.477571553241237,1.1717862047615966,23.96475749036844,31.41120939649365,8.60518509047083,55.85246931200466,12.095079313770427,1.0147539140503814,25.08815428146158,2.5986115010272246,1.7306313217602787,2.482780862618949,6.542926103335477,3.9921319850027985,8.25753893245667
20200229081258_ML2.6,2.5999999046325684,3.058320582498582,3.087504673690251,0.35125276468902905,8,54.68782424926758,327.4145812988281,179.78248929977417,286.9884556868909,98.4380091403001,383.2093789787847,2.3378730932756686,2.4173676765255077,2.005902329108308,18.924000597573237,4.519213997628184,34.71144752115229,2.1251880382248154,2.326923278789096,1.9097400991786058,0.963164256965532,0.8556999700296105,0.4254231622002041,2.179494694804022,1.9556886440850738,1.194602104270356,291.18120061286237,98.4380091403001,380.0968152322476,2.115809161210653,1.7999595981591836,1.8838409398087395,18.924000597573237,4.519213997628184,34.71144752115229,1.8635216847764935,1.2191699727185854,1.8533648007812404,1.046598016273714,1.2120294332660184,0.40553977197577334,2.339716684439901,2.327520285617579,1.1148170011801755,291.18120061286237,98.4380091403001,380.0968152322476,2.0712189845711797,1.385293267717824,1.8986861813797067,18.924000597573237,4.519213997628184,34.71144752115229,1.9972307812813856,0.6249031985872974,2.1215268735836785,1.046598016273714,1.2120294332660184,0.40553977197577334,2.339716684439901,2.327520285617579,1.1148170011801755
20200312211615_ML3.1,3.0999999046325684,3.5617578409645243,3.6165609410753663,0.3219345542392554,7,121.26374816894533,237.3206787109375,194.78736223493303,532.9350636716246,159.7432445528301,877.5985866192703,2.316696926617709,1.03876880787931,2.810989876164744,8.841747928484237,7.921109167729644,7.219365962814462,2.1687403333413102,1.019548300775699,2.809034613906309,1.0383228517408165,0.9598546224849591,0.3545616157288425,2.184154435991615,2.1469042826598392,0.7073614316255821,542.9369693388772,214.8605135243492,872.8244017580682,2.395960385622428,1.0598903492325151,3.0034766603345546,8.841747928484237,7.921109167729644,7.219365962814462,2.4314131844164346,1.2290550094899884,3.386278303030365,1.104602193842966,0.9949927590854056,0.37990702140879995,2.2986571990128684,2.4184129206763125,0.6720282320375535,572.722313054,214.8605135243492,870.4915859756177,2.4697597122421038,1.2568339467075693,3.3071102873197376,8.968157325082762,7.921109167729644,7.280820171026411,2.6491767796034873,1.1893744619650315,3.7278235474442805,1.1756409242585861,1.0793279666794589,0.3908220467871514,2.5164960486117516,2.4184129206763125,1.041174443025215
20200321051715_ML2.1,2.0999999046325684,2.7906059993781582,2.879124582275317,0.3602211926748672,4,28.422698974609375,137.46624755859375,93.73287200927734,898.9300342906917,344.51329165158086,1322.8785830623185,5.806850603544544,3.1840485843006667,6.691555739573618,10.570396462431393,9.202678513090898,8.321549186626026,5.709273136814237,2.2818576142594225,7.659717289884174,1.3294416937153641,1.258980019333408,0.7032010507676512,2.3973720408374937,1.9918748871146326,1.6096252250786802,1037.850017200848,344.51329165158086,1596.7639026312108,5.972453500082115,2.7645594073637945,7.679215421319709,10.570396462431393,9.202678513090898,8.321549186626026,5.986170525545707,2.0652129598854487,8.849143140004058,1.4379518689192727,1.258980019333408,0.894905374997893,2.625695177826054,1.9918748871146326,2.0471588984275755,1242.1344529356509,382.732797886812,1955.7604363669084,5.816455267095291,3.551304130722996,6.606172367873635,10.653995284268126,9.202678513090898,8.472328445790628,6.4573226742587995,5.143035655947822,6.451124479997977,1.6010793481085466,1.258980019333408,1.1433936996711114,2.9597519370941687,1.9918748871146326,2.610848025053065
20200329053125_ML2.1,2.0999999046325684,2.5015032684502447,2.3859612752177517,0.4222051397217954,4,37.96985626220703,85.31893157958984,61.10268688201904,201.34304948445293,202.18270332715645,98.21500411181839,3.0357476599641258,1.8201490072760604,3.421481202025759,30.709796850423864,17.81104569488419,38.96568315501923,2.606206087415645,1.9867154096075974,2.485400269057581,0.7135313746389149,0.6030725333976252,0.46311733577799274,1.7210954749601006,1.4440510636925086,1.3280251997661816,219.9474850962003,239.39157455065117,112.41111781048778,2.6684285174467206,1.8243745414657093,2.6693494976438448,30.74505800522744,17.881568004491335,38.93240966578499,2.144435944309631,1.9476740614423216,1.7494076755914254,0.736969264770622,0.6030725333976252,0.43900223472031724,1.7569815451480026,1.4440510636925086,1.2912963669062552,308.72224724982584,248.0442485436327,240.98851891598628,2.8068360899934683,2.9161181312267908,2.4489200459805507,31.86492098789312,20.121293969822702,37.928736973251866,2.9689876722239275,1.9888843534692786,3.3211396750756577,0.8788907200644436,0.7710961413041403,0.39489409928339714,2.0024688256507632,1.5345591638912648,1.2077761323774354
20200403224444_ML2.0,2.0,2.8570719698937506,2.8570719698937506,0.5165020724435457,2,96.49178314208984,115.82333374023438,106.15755844116211,161.5817347726482,161.5817347726482,128.6935701453551,4.352302177563416,4.352302177563416,4.21483587698354,56.148033480076975,56.148033480076975,45.24043713885619,3.3230397699822802,3.3230397699822802,3.384908804263109,0.6700976123421475,0.6700976123421475,0.08641061029051982,1.278939117016081,1.278939117016081,0.08722095497797465,161.5817347726482,161.5817347726482,128.6935701453551,3.427445690253948,3.427445690253948,3.3723339873284077,56.148033480076975,56.148033480076975,45.24043713885619,2.660734719668863,2.660734719668863,2.9218394431783468,0.6700976123421475,0.6700976123421475,0.08641061029051982,1.278939117016081,1.278939117016081,0.08722095497797465,308.71988784882006,308.71988784882006,330.8295103366198,4.5670889089913915,4.5670889089913915,5.037889263401811,56.148033480076975,56.148033480076975,45.24043713885619,5.758415986524575,5.758415986524575,6.581694277515609,1.1081064036159214,1.1081064036159214,0.654520573462538,2.0178525089809796,2.0178525089809796,0.8447694609693799
20200410200151_ML4.3,4.300000190734863,4.754264068738855,4.713231186008459,0.15388894950169976,13,172.0963134765625,532.7078857421875,331.64369436410755,1017.8320191273674,174.15315948064918,1919.3281313021985,4.594002259062141,1.4412238633255654,6.813903863060633,32.59189227966763,6.3697765834093625,45.68409964442535,4.401649262815402,1.7471897303907693,6.520747714076191,1.541936377557539,1.2057475325094555,1.1645611379394725,2.8501393045561865,1.9991141262188066,2.2124184310140778,1034.5375971153544,297.26822465720716,1912.442203371508,4.610892455630746,1.7307555212696195,7.057030547357602,32.66585495268709,6.3697765834093625,45.629442320291155,4.429565763104655,1.9356144821621453,7.016255973107428,1.695941905011695,1.2136369887186982,1.2479967869471058,3.1321610167571827,2.0497727566096424,2.3370044639783756,1059.4972988082554,347.24002776678196,1902.8057835691723,4.557239226557254,1.9553897959284547,7.43728710878084,32.66585495268709,6.3697765834093625,45.629442320291155,4.896916668302987,1.5011301473718388,8.91549175124741,1.9649721744783584,1.4129241376585795,1.5481217727051222,3.6587154836001385,2.282388002628592,2.9375844948286454
20200418115437_ML2.5,2.5,2.839673437083338,2.8577423519696006,0.411644952518837,6,42.470794677734375,175.44375610351562,92.64049021402995,579.615599760473,297.11079630730467,743.7876055993481,2.3592259206299047,1.619353537629803,2.1821889996349526,41.55928408971091,3.6530943906267996,93.53114956645527,2.462432377298707,1.6761346033856068,2.3316790067733266,1.13830925671087,1.1809077812160442,0.5896431862252003,2.2498562418507655,2.1787254477534637,1.3388536473106458,736.6704601934157,308.1830466735156,1104.590217706449,2.6651525846293658,1.4962899386425865,2.7509323728591615,42.01086075898785,3.6530943906267996,93.33401689752259,2.9072405699553454,1.3264116118334488,3.3839863112836848,1.2159726505166122,1.3278604886768224,0.5841888131655909,2.4285006059288023,2.208790776835678,1.3862189665406683,989.4173524867098,367.1859305846484,1656.381070064169,3.260868850112569,1.5787211145889986,4.111088545958357,43.26136418414646,3.6530943906267996,92.8310913100759,3.76273588628062,1.592674581341205,5.908632460185485,1.348652913389717,1.35163453967389,0.6446020675306793,2.732083307520915,2.208790776835678,1.6131158398938377
20200505215456_ML3.3,3.299999952316284,3.5552035121046393,3.5250554770746554,0.21464631945987375,9,44.80533218383789,216.81588745117188,120.3306867811415,321.87109967404064,190.15211644477273,393.829401842697,0.6708680076991054,0.6532357842493315,0.4234052887517612,8.609140274777907,4.730752459584628,8.635901851057877,0.6138177939784515,0.6728476965103338,0.3894188787398305,2.0817476876140733,1.6410656528664591,1.061277969089456,4.377574322858981,3.6828634413292134,2.458855726397252,424.20005299022995,296.06228984997745,379.6140425289078,0.6427887857150341,0.7948792093804166,0.350044936882028,8.609140274777907,4.730752459584628,8.635901851057877,0.5609365377740547,0.6917221661022288,0.28414557353948094,3.038787403914097,2.7084551478611267,1.5976507395175117,6.408376150309063,4.7787914019406585,3.8181906999108794,483.01247541364177,379.90401874377255,372.6135049236196,0.5963541185347077,0.6684380246393216,0.34163270706718674,8.609140274777907,4.730752459584628,8.635901851057877,0.5582409750358469,0.5734652291476009,0.3537323035260323,3.720137729796127,3.562604307779526,2.13874960303989,7.862930983701734,7.438578246788473,5.158672706011872
20200615164203_ML3.4,3.4000000953674316,3.606018134075829,3.6262128270535516,0.19289658147382543,6,23.87666893005371,240.98941040039065,108.12934335072835,805.5034128703018,421.6597514152684,1097.4902245698179,0.41393457150104923,0.38291742141058505,0.17578783792646904,2.42075396143388,1.8461949338962285,1.9100584001921892,0.4038589100423662,0.377424291182471,0.13681342399508253,2.560424932043137,1.8295429524373925,2.401686433897104,4.9211144573711945,4.224578036273897,3.7612232640180827,1145.3572631269546,527.787195645876,1507.2488619473656,0.4440461087056234,0.46804472653714513,0.20287880497254462,2.4264490728241324,1.8461949338962285,1.9027159612209985,0.4509560597933448,0.49882669444641337,0.21598265559664406,3.6084547059907326,3.0338798153954043,3.1295761070844508,7.066246666933252,6.910255945876318,4.862557308711651,1840.142261702801,712.31310296781,2918.4509364345995,0.5436603955634558,0.5842759736247021,0.306524915177182,2.4264490728241324,1.8461949338962285,1.9027159612209985,0.6756897622666416,0.5239610849258223,0.5271811916714108,5.068173396321308,3.0338798153954043,6.2267696410363795,9.311551664884947,6.910255945876318,8.797407518584455
20200616061112_ML4.8,4.800000190734863,5.516262237181942,5.475067733444078,0.3422117114783329,8,71.7759780883789,426.9720153808594,235.0683069229126,4564.181706721431,2456.6595389945383,5688.536579271026,1.0418085953886234,0.9987452606846107,0.32558982905240197,16.836698918110244,6.417579067912772,24.974072619674192,0.954891176639976,0.9816681790589941,0.30123279353414134,7.5231744471902156,4.2171160800635095,8.108040004158893,16.833567914840895,9.987827789851346,16.741901887652016,6122.974410302009,2890.076230484561,6200.438462383151,1.3868819195490933,1.1135582826189447,0.788842047508218,16.836698918110244,6.417579067912772,24.974072619674192,1.4933479556526108,1.0893172556815238,1.1535652792693214,10.698280752113723,7.469634219337268,8.47548226518314,22.979641586620307,16.092421444759495,16.4341091915608,6252.651503807869,3309.6024004467554,6095.862706839495,1.351737083229657,0.9404316005926898,1.2484715591161781,16.836698918110244,6.417579067912772,24.974072619674192,1.398720173272605,0.8011420124611539,1.7645293840500704,11.323627753871556,9.71262561769969,8.357603050784174,24.015285521741475,19.71365426968265,15.844216510013181
20200616085400_ML2.0,2.0,2.648342650395522,2.5231290906455706,0.6181875516185591,3,21.01947975158691,123.0810317993164,65.22004508972168,522.9097840954461,291.3177140411518,420.23865362138827,4.716654974806031,5.920902077372429,3.8388301682804844,6.774001976700046,8.58005621190534,3.502429042916751,6.047636237426303,8.58005621190534,4.758828233021318,0.707082716402355,0.7334000382297498,0.15912325459505933,1.4260744768185079,1.271153035815509,0.5409506559914331,767.9075989096956,492.56130534974557,574.4053100204907,6.74426963949782,9.65603193962137,5.204754764942057,9.952197815408475,11.91879788790534,6.4602533909815305,9.34442976957842,11.860482218367181,7.377342528034506,1.0696497765264505,1.2062932159950885,0.2664302893703393,2.138155185283866,2.149271288501641,0.7401948218269379,944.1939453452425,496.6386063751362,828.3988372662377,9.169832203037409,11.591197680236466,7.608553318683523,14.834514163725416,17.06424877713601,11.150930146822912,12.570780692408873,12.450861704310737,12.071814679754885,1.241013809742201,1.2503008068038126,0.3686459887210096,2.5245524513909667,2.1670624262407863,1.1608098617814873
