event,net,sta,ML_station_mean,ML_station_median,ML_station_std,n_horizontal_component,distance_km,distance_min_km,distance_max_km,header_ML,amplitude_h_nm_max,amplitude_h_nm_mean,amp_window_start,amp_window_end,s_pick,s_source,ML_formula,ML_HHE,ML_HHN,ML_HHZ,amp_nm_HHE,amp_nm_HHN,amp_nm_HHZ,ML_H_mean,ML_H_std,ML_Z,ML_Z_minus_H_mean,ML_station_minus_header,abs_ML_station_minus_header,reject_reason,pass_filter
20060226161229_ML3.5,TW,THVB,3.821462111599582,3.821462111599582,0.1208223414674785,2,294.2640380859375,294.2640380859375,294.2640380859375,3.5,501.6942173775265,420.10171840150394,2006-02-26T16:13:53.559996,2006-02-26T16:15:51.076025,2006-02-26T16:13:53.559996,header,SEISAN_HUTTON_NM,3.7360278146290913,3.9068964085700726,3.8585006915250295,338.5092194254814,501.6942173775265,448.7902138100851,3.821462111599582,0.1208223414674785,3.8585006915250295,0.0370385799254475,0.3214621115995819,0.3214621115995819,,True
20060226161229_ML3.5,TW,TTVB,3.2441124098242526,3.2441124098242526,0.0100340279600683,2,109.70721435546876,109.70721435546876,109.70721435546876,3.5,739.9456910737389,728.0524551805879,2006-02-26T16:13:08.389998,2006-02-26T16:13:48.038143,2006-02-26T16:13:08.389998,header,SEISAN_HUTTON_NM,3.2512075390374324,3.237017280611073,3.1832690912921215,739.9456910737389,716.1592192874368,632.7926086804524,3.2441124098242526,0.0100340279600683,3.1832690912921215,-0.0608433185321311,-0.2558875901757473,0.2558875901757473,,True
20060316162059_ML3.2,TW,BGVB,3.322005154426087,3.322005154426087,0.0086213239658331,2,232.5574951171875,232.5574951171875,232.5574951171875,3.200000047683716,224.75999139421992,221.64890746102753,2006-03-16T16:23:37.829002,2006-03-16T16:25:04.537330,2006-03-16T16:23:37.829002,header,SEISAN_HUTTON_NM,3.31590895778704,3.3281013510651336,3.197330576462071,218.53782352783512,224.75999139421992,166.32143837570698,3.322005154426087,0.0086213239658331,3.197330576462071,-0.1246745779640159,0.122005106742371,0.122005106742371,,True
20060316162059_ML3.2,TW,DBVB,3.340076297220935,3.340076297220935,0.0556118693807615,2,162.72903442382812,162.72903442382812,162.72903442382812,3.200000047683716,509.4666374498101,467.2723485462275,2006-03-16T16:23:17.888999,2006-03-16T16:24:17.985023,2006-03-16T16:23:17.888999,header,SEISAN_HUTTON_NM,3.300752767267338,3.379399827174532,3.0627308323747338,425.0780596426449,509.4666374498101,245.7235350569334,3.340076297220935,0.0556118693807615,3.0627308323747338,-0.277345464846201,0.1400762495372189,0.1400762495372189,,True
20060316162059_ML3.2,TW,DHVB,3.256804091520272,3.256804091520272,0.0589154722258714,2,121.44208526611328,121.44208526611328,121.44208526611328,3.200000047683716,700.3066505906665,639.1808444723135,2006-03-16T16:23:06.958999,2006-03-16T16:23:50.460390,2006-03-16T16:23:06.958999,header,SEISAN_HUTTON_NM,3.2151445615925507,3.2984636214479934,3.295089703090918,578.0550383539605,700.3066505906665,694.8872326889273,3.256804091520272,0.0589154722258714,3.295089703090918,0.0382856115706458,0.0568040438365562,0.0568040438365562,,True
20060316162059_ML3.2,TW,DSVB,3.545575847468222,3.545575847468222,0.121869520354668,2,260.1788024902344,260.1788024902344,260.1788024902344,3.200000047683716,354.0469475431919,296.0602975538077,2006-03-16T16:23:45.999000,2006-03-16T16:25:22.951535,2006-03-16T16:23:45.999000,header,SEISAN_HUTTON_NM,3.63175061173096,3.459401083205485,3.2346910614513797,354.0469475431919,238.0736475644235,141.90617829707446,3.545575847468222,0.121869520354668,3.2346910614513797,-0.3108847860168429,0.3455757997845068,0.3455757997845068,,True
20060316162059_ML3.2,TW,HBVB,3.7168688212371848,3.7168688212371848,0.0136520586693054,2,195.8614501953125,195.8614501953125,195.8614501953125,3.200000047683716,798.5107948329177,781.1503068970044,2006-03-16T16:23:28.508995,2006-03-16T16:24:40.073300,2006-03-16T16:23:28.508995,header,SEISAN_HUTTON_NM,3.7072153579749623,3.7265222844994073,3.429240959960863,763.789818961091,798.5107948329177,402.7165401497906,3.7168688212371848,0.0136520586693054,3.429240959960863,-0.2876278612763219,0.5168687735534689,0.5168687735534689,,True
20060316162059_ML3.2,TW,LAVB,3.4818475932339057,3.4818475932339057,0.0800249418215712,2,258.9537048339844,258.9537048339844,258.9537048339844,3.200000047683716,288.6255058858887,255.5198114147367,2006-03-16T16:23:47.008995,2006-03-16T16:25:22.134803,2006-03-16T16:23:47.008995,header,SEISAN_HUTTON_NM,3.5384337722599977,3.4252614142078137,3.3898788350795055,288.6255058858887,222.41411694358465,205.012230139344,3.4818475932339057,0.0800249418215712,3.3898788350795055,-0.0919687581544002,0.2818475455501898,0.2818475455501898,,True
20060316162059_ML3.2,TW,MCVB,3.0163758133137217,3.0163758133137217,0.090254272878576,2,165.85433959960938,165.85433959960938,165.85433959960938,3.200000047683716,247.07780139846983,215.6188169709949,2006-03-16T16:23:20.818992,2006-03-16T16:24:20.068560,2006-03-16T16:23:20.818992,header,SEISAN_HUTTON_NM,3.080195221697224,2.9525564049302195,2.946859928622554,247.07780139846983,184.15983254351997,181.7600506588595,3.0163758133137217,0.090254272878576,2.946859928622554,-0.0695158846911678,-0.1836242343699941,0.1836242343699941,,True
20060316162059_ML3.2,TW,TGVB,2.930019282777693,2.930019282777693,0.0797807726605477,2,116.62581634521484,116.62581634521484,116.62581634521484,3.200000047683716,364.6430176502265,322.9297758089764,2006-03-16T16:23:04.988998,2006-03-16T16:23:47.249544,2006-03-16T16:23:04.988998,header,SEISAN_HUTTON_NM,2.9864328081342686,2.8736057574211173,2.6541166449423947,364.6430176502265,281.2165339677263,169.64916980338617,2.930019282777693,0.0797807726605477,2.6541166449423947,-0.2759026378352982,-0.2699807649060228,0.2699807649060228,,True
