event,net,sta,ML_station_mean,ML_station_median,ML_station_std,n_horizontal_component,distance_km,distance_min_km,distance_max_km,header_ML,amplitude_h_nm_max,amplitude_h_nm_mean,amp_window_start,amp_window_end,s_pick,s_source,ML_formula,ML_HHE,ML_HHN,ML_HHZ,amp_nm_HHE,amp_nm_HHN,amp_nm_HHZ,ML_H_mean,ML_H_std,ML_Z,ML_Z_minus_H_mean,ML_station_minus_header,abs_ML_station_minus_header,reject_reason,pass_filter
20081117110359_ML3.2,TW,BCVB,3.816445429941507,3.816445429941507,0.3165423356881722,2,275.8617858886719,275.8617858886719,275.8617858886719,3.200000047683716,793.831400114716,538.5080578348833,2008-11-17T11:05:57.959998,2008-11-17T11:07:48.807857,2008-11-17T11:05:57.959998,header,SEISAN_HUTTON_NM,3.592616197843772,4.040274662039242,3.731449089744421,283.1847155550507,793.831400114716,389.8546343372501,3.816445429941507,0.3165423356881722,3.731449089744421,-0.0849963401970859,0.6164453822577913,0.6164453822577913,H_component_std_too_large;,False
20081117110359_ML3.2,TW,VTVB,3.557290907735481,3.557290907735481,0.3024600736308403,2,177.92990112304688,177.92990112304688,177.92990112304688,3.200000047683716,1064.3847490911207,730.9507824586613,2008-11-17T11:05:38.009993,2008-11-17T11:06:43.519934,2008-11-17T11:05:38.009993,header,SEISAN_HUTTON_NM,3.3434193386329314,3.7711624768380303,3.5769586473285013,397.5168158262019,1064.3847490911207,680.6044960098793,3.557290907735481,0.3024600736308403,3.5769586473285013,0.0196677395930202,0.3572908600517652,0.3572908600517652,H_component_std_too_large;,False
20081229194834_ML3.4,TW,SPVB,3.981963110701704,3.981963110701704,0.3007044821614538,2,154.89390563964844,154.89390563964844,154.89390563964844,3.4000000953674316,3638.3602690679513,2502.4863134589314,2008-12-29T19:50:35.520003,2008-12-29T19:51:31.162604,2008-12-29T19:50:35.520003,header,SEISAN_HUTTON_NM,4.194593289171257,3.7693329322321505,4.024184345126093,3638.3602690679513,1366.612357849912,2457.5182772642893,3.981963110701704,0.3007044821614538,4.024184345126093,0.0422212344243893,0.5819630153342721,0.5819630153342721,H_component_std_too_large;,False
20090308202736_ML2.8,TW,DHVB,3.934082136712278,3.934082136712278,0.0574566019603338,2,211.2374725341797,211.2374725341797,211.2374725341797,2.799999952316284,1216.1173882196374,1112.3594239907593,2009-03-08T20:29:10.359999,2009-03-08T20:30:26.724982,2009-03-08T20:29:10.359999,header,SEISAN_HUTTON_NM,3.9747100895823664,3.8934541838421897,3.1588113366401815,1216.1173882196374,1008.6014597618812,185.8132781019135,3.934082136712278,0.0574566019603338,3.1588113366401815,-0.7752708000720965,1.1340821843959938,1.1340821843959938,Z_minus_H_too_large;,False
20090308202736_ML2.8,TW,TGVB,2.841235375274251,2.841235375274251,0.3176432053504407,2,189.9091796875,189.9091796875,189.9091796875,2.799999952316284,185.237400157298,125.5404834047986,2009-03-08T20:29:02.480002,2009-03-08T20:30:12.506120,2009-03-08T20:29:02.480002,header,SEISAN_HUTTON_NM,3.065843039775378,2.6166277107731233,2.970352963438023,185.237400157298,65.84356665229922,148.6752236998307,2.841235375274251,0.3176432053504407,2.970352963438023,0.1291175881637718,0.0412354229579667,0.0412354229579667,H_component_std_too_large;,False
20090327144250_ML3.6,TW,VTVB,4.222148364923006,4.222148364923006,0.3452444493872531,2,224.8750457763672,224.8750457763672,224.8750457763672,3.5999999046325684,3315.9228376159913,2196.63420752246,2009-03-27T14:44:39.569998,2009-03-27T14:46:02.316697,2009-03-27T14:44:39.569998,header,SEISAN_HUTTON_NM,3.978023673594264,4.466273056251749,4.1697341580540295,1077.3455774289296,3315.9228376159913,1675.1955769208123,4.222148364923006,0.3452444493872531,4.1697341580540295,-0.0524142068689768,0.6221484602904379,0.6221484602904379,H_component_std_too_large;,False
20090505171825_ML3.1,TW,DHVB,4.042451664018181,4.042451664018181,0.4764022704973734,2,291.0026550292969,291.0026550292969,291.0026550292969,3.0999999046325684,1528.967682863029,926.5281411266816,2009-05-05T17:20:15.020001,2009-05-05T17:22:02.801770,2009-05-05T17:20:15.020001,header,SEISAN_HUTTON_NM,4.379318940059542,3.705584387976821,3.4464813799697795,1528.967682863029,324.0885993903343,178.4681599238089,4.042451664018181,0.4764022704973734,3.4464813799697795,-0.5959702840484011,0.9424517593856124,0.9424517593856124,H_component_std_too_large;,False
20090505171825_ML3.1,TW,TGVB,3.0969310385965048,3.0969310385965048,0.3516358001686382,2,232.87489318847656,232.87489318847656,232.87489318847656,3.0999999046325684,233.31109234344888,153.77634159815543,2009-05-05T17:19:57.990002,2009-05-05T17:21:24.049929,2009-05-05T17:19:57.990002,header,SEISAN_HUTTON_NM,3.3455750974037066,2.848286979789303,3.370006738357671,233.31109234344888,74.24159085286206,246.81243003242585,3.0969310385965048,0.3516358001686382,3.370006738357671,0.2730756997611663,-0.0030688660360636,0.0030688660360636,H_component_std_too_large;,False
20090519000206_ML3.2,TW,TGVB,3.3034401107397655,3.3034401107397655,0.3179471301063202,2,113.05139923095705,113.05139923095705,113.05139923095705,3.200000047683716,1334.932303111342,904.485665512537,2009-05-19T00:03:22.448997,2009-05-19T00:04:03.366599,2009-05-19T00:03:22.448997,header,SEISAN_HUTTON_NM,3.528262682496746,3.078617538982785,3.3139602680508142,1334.932303111342,474.039027913732,814.9985347388973,3.3034401107397655,0.3179471301063202,3.3139602680508142,0.0105201573110487,0.1034400630560496,0.1034400630560496,H_component_std_too_large;,False
20110205153128_M3.0,VN,HGVB,2.6677249481222294,2.6677249481222294,0.3238883963883049,2,203.46197509765625,203.46197509765625,203.46197509765625,3.0,109.59458144643143,73.88315028427152,2011-02-05T15:32:27.480000,2011-02-05T15:33:42.141317,2011-02-05T15:32:27.480000,header,SEISAN_HUTTON_NM,2.4387012666884225,2.8967486295560363,2.599121904803388,38.17171912211159,109.59458144643143,55.22838677344215,2.6677249481222294,0.3238883963883049,2.599121904803388,-0.0686030433188413,-0.3322750518777706,0.3322750518777706,H_component_std_too_large;,False
20110224200421_M3.3,VN,SPVB,2.986962246467363,2.986962246467363,0.3196075826593267,2,184.6375732421875,184.6375732421875,184.6375732421875,3.299999952316284,274.39653912608895,185.65512814439256,2011-02-24T20:05:16.150000,2011-02-24T20:06:22.491715,2011-02-24T20:05:16.150000,header,SEISAN_HUTTON_NM,3.212958935484413,2.760965557450313,2.8626549462522553,274.39653912608895,96.9137171626962,122.48266865836592,2.986962246467363,0.3196075826593267,2.8626549462522553,-0.1243073002151078,-0.3130377058489211,0.3130377058489211,H_component_std_too_large;,False
20110317181056_M3.1,VN,DBVB,2.829609677643064,2.829609677643064,0.3035873339733831,2,196.02003479003903,196.02003479003903,196.02003479003903,3.0999999046325684,165.70933011672153,113.6850992433946,2011-03-17T18:11:53.139998,2011-03-17T18:13:05.080023,2011-03-17T18:11:53.139998,header,SEISAN_HUTTON_NM,2.6149410151081396,3.0442783401779883,2.9612720529210987,61.66086837006768,165.70933011672153,136.88021365389412,2.829609677643064,0.3035873339733831,2.9612720529210987,0.1316623752780348,-0.2703902269895044,0.2703902269895044,H_component_std_too_large;,False
20111012043216_M3.3,VN,HGVB,2.5371705450427187,2.5371705450427187,0.2133258771475734,2,79.05088806152344,79.05088806152344,79.05088806152344,3.299999952316284,332.6075053343988,249.32967341606195,2011-10-12T04:32:40.789001,2011-10-12T04:33:07.199592,2011-10-12T04:32:40.789001,header,SEISAN_HUTTON_NM,2.386326370709101,2.688014719376336,2.399247710673156,166.05184149772512,332.6075053343988,171.0665261337563,2.5371705450427187,0.2133258771475734,2.399247710673156,-0.1379228343695628,-0.7628294072735655,0.7628294072735655,residual_outside_bias_centered_2std;,False
