event,net,sta,comp,distance_km,header_ML,ML_station_mean,ML_H_mean,ML_H_std,ML_Z,ML_Z_minus_H_mean,ML_station_minus_header,p_pick,p_label,p_source,p_source_component,disp_unit,vel_unit,remove_preP_mean_for_Pd,taup_smoothing_tau_sec,preP_noise_window_start,preP_noise_window_end,preP_noise_window_sec,preP_noise_npts_disp,preP_noise_npts_vel,preP_disp_mean_nm,preP_vel_mean_nmps,preP_noise_absmax_nm,preP_noise_rms_nm,Pd_2s_nm,Pd_2s_um,Pd_2s_ground_mm,Pd_peak_time_2s,tau_c_2s_sec,tau_p_max_2s_sec,tau_p_end_2s_sec,snr_absmax_2s,snr_rms_2s,npts_2s,Pd_3s_nm,Pd_3s_um,Pd_3s_ground_mm,Pd_peak_time_3s,tau_c_3s_sec,tau_p_max_3s_sec,tau_p_end_3s_sec,snr_absmax_3s,snr_rms_3s,npts_3s,Pd_5s_nm,Pd_5s_um,Pd_5s_ground_mm,Pd_peak_time_5s,tau_c_5s_sec,tau_p_max_5s_sec,tau_p_end_5s_sec,snr_absmax_5s,snr_rms_5s,npts_5s
20221010192653_ML3.9,VN,VTVB,HHZ,247.20074462890625,3.900000095367432,4.226345399867739,4.226345399867739,0.1840243909330162,4.30580229880245,0.079456898934711,0.3263453045003075,2022-10-10T19:29:41.558999,Pn,header,HHZ,nm,nm/s,True,1.0,2022-10-10T19:29:31.558999,2022-10-10T19:29:41.058999,9.5,951,951,278.9564474046105,15.67703584980388,766.7892801344519,302.34005691271517,566.4058187425012,0.5664058187425012,0.0005664058187425012,2022-10-10T19:29:41.619000,2.660073681077294,13.675761940965062,2.5591477913080904,0.7386720620861905,1.8734064699406376,201,566.4058187425012,0.5664058187425012,0.0005664058187425012,2022-10-10T19:29:41.619000,2.81641629927106,13.675761940965062,3.0889933764369917,0.7386720620861905,1.8734064699406376,301,566.4058187425012,0.5664058187425012,0.0005664058187425012,2022-10-10T19:29:41.619000,2.165948211032582,13.675761940965062,1.1510073823506946,0.7386720620861905,1.8734064699406376,501
20221012214312_ML2.6,VN,DBVB,HHZ,128.62234497070312,2.5999999046325684,3.1675487320044975,3.1675487320044975,0.0939916253421487,3.0151941299171554,-0.152354602087342,0.5675488273719291,2022-10-12T21:44:33.489004,Pg,header,HHZ,nm,nm/s,True,1.0,2022-10-12T21:44:23.489004,2022-10-12T21:44:32.989004,9.5,951,951,-3.535026294857922,7.825254545414862,222.18212153229052,135.78897194165205,167.93117548736865,0.16793117548736866,0.00016793117548736863,2022-10-12T21:44:35.008000,1.2204169608699678,3.895611971011729,1.2824315202515246,0.7558266809643485,1.2367070247761207,201,167.93117548736865,0.16793117548736866,0.00016793117548736863,2022-10-12T21:44:35.008000,1.3233758591400238,3.895611971011729,1.4184533762583504,0.7558266809643485,1.2367070247761207,301,265.4965741464204,0.2654965741464204,0.0002654965741464204,2022-10-12T21:44:38.138000,2.20381074763099,4.198171095357642,4.18928932342493,1.1949502161353467,1.9552145535095675,501
20221012214312_ML2.6,VN,MLVB,HHZ,104.32347869873048,2.5999999046325684,2.8781690185412243,2.8781690185412243,0.0910080173484889,2.7897010693085473,-0.0884679492326769,0.2781691139086559,2022-10-12T21:44:28.748998,Pn,header,HHZ,nm,nm/s,True,1.0,2022-10-12T21:44:18.748998,2022-10-12T21:44:28.248998,9.5,951,951,-8.528156294337583,-8.44556250754591,88.38215254355305,46.33481274469018,223.2530861039079,0.2232530861039079,0.00022325308610390788,2022-10-12T21:44:30.698000,2.193033994245832,13.051086909290191,2.404421871440042,2.52599738384843,4.818258084564979,201,223.2530861039079,0.2232530861039079,0.00022325308610390788,2022-10-12T21:44:30.698000,1.5895548160524338,13.051086909290191,1.541915405847131,2.52599738384843,4.818258084564979,301,223.2530861039079,0.2232530861039079,0.00022325308610390788,2022-10-12T21:44:30.698000,1.723336450240494,13.051086909290191,2.1733066778477457,2.52599738384843,4.818258084564979,501
20221012214312_ML2.6,VN,TGVB,HHZ,147.7798309326172,2.5999999046325684,2.9760221056445624,2.9760221056445624,0.0226440601100003,3.03105116009469,0.0550290544501277,0.376022201011994,2022-10-12T21:44:36.649000,Pg,header,HHZ,nm,nm/s,True,1.0,2022-10-12T21:44:26.649000,2022-10-12T21:44:36.149000,9.5,951,951,-7.627446665231738,20.31402575744455,188.0260977882786,52.9737388471149,193.9590096335964,0.19395900963359639,0.0001939590096335964,2022-10-12T21:44:38.386000,2.6925205306728395,14.752712767340174,2.968764885339807,1.0315536615135117,3.6614181640713084,201,193.9590096335964,0.19395900963359639,0.0001939590096335964,2022-10-12T21:44:38.386000,3.030081866992635,14.752712767340174,3.356490447509458,1.0315536615135117,3.6614181640713084,301,193.9590096335964,0.19395900963359639,0.0001939590096335964,2022-10-12T21:44:38.386000,2.7813303337854856,14.752712767340174,2.418265777460117,1.0315536615135117,3.6614181640713084,501
20221012214312_ML2.6,VN,VN04,HHZ,137.8234405517578,2.5999999046325684,2.996950295992736,2.996950295992736,0.0871851083037193,3.029855481685761,0.0329051856930249,0.3969503913601677,2022-10-12T21:44:35.088995,Pg,header,HHZ,nm,nm/s,True,1.0,2022-10-12T21:44:25.088995,2022-10-12T21:44:34.588995,9.5,951,951,9.918122326757379,2.133980329566636,329.08554176035113,179.58073846371704,99.34140678701215,0.09934140678701214,9.934140678701214e-05,2022-10-12T21:44:36.828000,1.0783931851531534,3.5830037483637867,0.9906660592935249,0.3018710766070519,0.5531852003553451,201,99.34140678701215,0.09934140678701214,9.934140678701214e-05,2022-10-12T21:44:36.828000,1.016200934428537,3.5830037483637867,0.9470617258824939,0.3018710766070519,0.5531852003553451,301,140.33291724863238,0.1403329172486324,0.00014033291724863237,2022-10-12T21:44:40.088000,0.9092844689200259,3.5830037483637867,0.9418909822577582,0.42643294657662767,0.7814474895757577,501
20221012214312_ML2.6,VN,VN05,HHZ,69.37094116210938,2.5999999046325684,2.6607207891390425,2.6607207891390425,0.1126989466632397,2.740559806666256,0.0798390175272132,0.0607208845064741,2022-10-12T21:44:23.698995,Pg,header,HHZ,nm,nm/s,True,1.0,2022-10-12T21:44:13.698995,2022-10-12T21:44:23.198995,9.5,951,951,-12.96088741790233,20.653173528588155,172.67206241119922,81.53287134239925,328.59766720305856,0.32859766720305855,0.00032859766720305856,2022-10-12T21:44:23.938000,1.1058491221107405,6.024362767924869,0.985821468909874,1.9030158244159958,4.030247700011751,201,328.59766720305856,0.32859766720305855,0.00032859766720305856,2022-10-12T21:44:23.938000,0.9627853542248301,6.024362767924869,0.7142536973953708,1.9030158244159958,4.030247700011751,301,328.59766720305856,0.32859766720305855,0.00032859766720305856,2022-10-12T21:44:23.938000,0.7586427461833029,6.024362767924869,0.404067669486912,1.9030158244159958,4.030247700011751,501
20221012214312_ML2.6,VN,VN08,HHZ,160.08067321777344,2.5999999046325684,3.120945342961838,3.120945342961838,0.0669693489435871,3.1640695913034858,0.0431242483416478,0.5209454383292695,2022-10-12T21:44:39.098997,Pg,header,HHZ,nm,nm/s,True,1.0,2022-10-12T21:44:29.098997,2022-10-12T21:44:38.598997,9.5,951,951,-22.000218128164608,30.887895303988902,179.78894493480524,93.88032814257592,166.83357689281306,0.16683357689281306,0.00016683357689281305,2022-10-12T21:44:39.098000,1.7905100631801667,7.459650378155617,1.4901090331431521,0.9279412421787666,1.7770877050988056,201,166.83357689281306,0.16683357689281306,0.00016683357689281305,2022-10-12T21:44:39.098000,1.6209219479750148,7.459650378155617,1.288106953660638,0.9279412421787666,1.7770877050988056,301,170.60767676929632,0.17060767676929633,0.0001706076767692963,2022-10-12T21:44:43.298000,1.9657354050747617,7.459650378155617,2.433546608057441,0.9489330772320944,1.8172888841014134,501
20221012214312_ML2.6,VN,VN09,HHZ,134.11473083496094,2.5999999046325684,2.953331031231753,2.953331031231753,0.225832615582767,2.965315098747845,0.0119840675160918,0.3533311265991847,2022-10-12T21:44:33.989004,Pn,header,HHZ,nm,nm/s,True,1.0,2022-10-12T21:44:23.989004,2022-10-12T21:44:33.489004,9.5,951,951,-1.765278271813686,3.841356759129012,172.28538935579806,84.46210565407281,20.029186658044154,0.020029186658044155,2.0029186658044152e-05,2022-10-12T21:44:35.838000,0.7836791234096664,3.4535379301571787,0.673853511013132,0.1162558632100865,0.23713814026939706,201,20.029186658044154,0.020029186658044155,2.0029186658044152e-05,2022-10-12T21:44:35.838000,0.7527749199486606,3.4535379301571787,0.7077000061219164,0.1162558632100865,0.23713814026939706,301,56.77084309659452,0.05677084309659452,5.677084309659452e-05,2022-10-12T21:44:38.518000,1.2125928706669713,3.4535379301571787,1.4363609095606766,0.32951629449757497,0.6721457233035132,501
20221012214312_ML2.6,VN,VN10,HHZ,111.85022735595705,2.5999999046325684,3.174359846807664,3.174359846807664,0.0709994444427271,3.0132669239440757,-0.1610929228635882,0.5743599421750956,2022-10-12T21:44:29.106727,P,theory,theory,nm,nm/s,True,1.0,2022-10-12T21:44:19.106727,2022-10-12T21:44:28.606727,9.5,951,951,-20.066921377438977,7.522985794441432,200.65527710888915,112.75823246107414,188.53332152392335,0.18853332152392335,0.00018853332152392335,2022-10-12T21:44:29.518000,5.410090356667038,32.86012023253517,3.7730390789678054,0.9395881545722438,1.6720138069653399,201,188.53332152392335,0.18853332152392335,0.00018853332152392335,2022-10-12T21:44:29.518000,2.600843648992968,32.86012023253517,1.3732698549298918,0.9395881545722438,1.6720138069653399,301,188.53332152392335,0.18853332152392335,0.00018853332152392335,2022-10-12T21:44:29.518000,1.319019555816666,32.86012023253517,0.5982343880948736,0.9395881545722438,1.6720138069653399,501
20221012214312_ML2.6,VN,VN11,HHZ,164.28041076660156,2.5999999046325684,3.0999544471653957,3.0999544471653957,0.1633627651317187,3.0315367211740174,-0.0684177259913783,0.4999545425328273,2022-10-12T21:44:38.998998,Pg,header,HHZ,nm,nm/s,True,1.0,2022-10-12T21:44:28.998998,2022-10-12T21:44:38.498998,9.5,951,951,-8.5476533202523,-8.130107653191162,129.28927600103677,74.75597358346285,119.5958250733024,0.1195958250733024,0.00011959582507330239,2022-10-12T21:44:39.458000,3.072547493935138,7.030729754165309,2.3653841252402272,0.9250250969952323,1.599816300161982,201,119.5958250733024,0.1195958250733024,0.00011959582507330239,2022-10-12T21:44:39.458000,2.0950473084076964,7.030729754165309,1.1514234024048013,0.9250250969952323,1.599816300161982,301,119.5958250733024,0.1195958250733024,0.00011959582507330239,2022-10-12T21:44:39.458000,1.729568420380271,7.030729754165309,0.7424002835941206,0.9250250969952323,1.599816300161982,501
20221214080718_ML4.0,VN,BC02,HHZ,175.9009552001953,4.0,4.152942484534644,4.152942484534644,0.1026158411280001,4.0738830685100424,-0.0790594160246014,0.1529424845346438,2022-12-14T08:08:49.969001,Pg,header,HHZ,nm,nm/s,True,1.0,2022-12-14T08:08:39.969001,2022-12-14T08:08:49.469001,9.5,951,951,106.44379366030202,-86.76598986842279,553.1996389568855,279.499365743685,917.5539621173333,0.9175539621173333,0.0009175539621173333,2022-12-14T08:08:51.710000,0.7758032120836812,4.07461720571032,0.6934094290231331,1.6586308043285698,3.282848101196682,201,917.5539621173333,0.9175539621173333,0.0009175539621173333,2022-12-14T08:08:51.710000,0.6826086526246656,4.07461720571032,0.5790803539319361,1.6586308043285698,3.282848101196682,301,917.5539621173333,0.9175539621173333,0.0009175539621173333,2022-12-14T08:08:51.710000,0.6266431651455155,4.07461720571032,0.5723233387004097,1.6586308043285698,3.282848101196682,501
20221214080718_ML4.0,VN,BGVB,HHZ,128.8580780029297,4.0,4.0658078173215335,4.0658078173215335,0.0732649546174156,3.797511115413789,-0.2682967019077447,0.0658078173215335,2022-12-14T08:08:42.909004,Pg,header,HHZ,nm,nm/s,True,1.0,2022-12-14T08:08:32.909004,2022-12-14T08:08:42.409004,9.5,951,951,-5.179220071036983,-8.810990841512801,161.62000071068542,77.05769003334244,963.8482264186932,0.9638482264186933,0.0009638482264186932,2022-12-14T08:08:43.518000,0.38756900515137355,1.0728973830412938,0.3575242565631422,5.963669237596835,12.50813807164011,201,963.8482264186932,0.9638482264186933,0.0009638482264186932,2022-12-14T08:08:43.518000,0.39448513929698964,1.0728973830412938,0.3753190476896033,5.963669237596835,12.50813807164011,301,963.8482264186932,0.9638482264186933,0.0009638482264186932,2022-12-14T08:08:43.518000,0.3896504375268103,1.0728973830412938,0.3819158201285574,5.963669237596835,12.50813807164011,501
20221214080718_ML4.0,VN,BKVB,HHZ,165.79742431640625,4.0,4.017405442031448,4.017405442031448,0.0719634042488006,4.0022160302887615,-0.0151894117426865,0.017405442031448,2022-12-14T08:08:47.708999,Pg,header,HHZ,nm,nm/s,True,1.0,2022-12-14T08:08:37.708999,2022-12-14T08:08:47.208999,9.5,951,951,12.898125734587605,19.549326220490077,282.04781445529073,157.98653850248735,396.7253962424001,0.3967253962424001,0.00039672539624240006,2022-12-14T08:08:49.208000,0.6411006978894799,10.297713984869363,0.6211616468200001,1.4065891522988123,2.5111341763852497,201,396.7253962424001,0.3967253962424001,0.00039672539624240006,2022-12-14T08:08:49.208000,0.6003902323030104,10.297713984869363,0.5526934403167266,1.4065891522988123,2.5111341763852497,301,396.7253962424001,0.3967253962424001,0.00039672539624240006,2022-12-14T08:08:49.208000,0.5823549734527148,10.297713984869363,0.6367837351429276,1.4065891522988123,2.5111341763852497,501
20221214080718_ML4.0,VN,CBVB,HHZ,231.3584442138672,4.0,4.073856670772976,4.073856670772976,0.117442536772287,4.104082372955072,0.0302257021820961,0.0738566707729759,2022-12-14T08:09:00.518997,Pg,header,HHZ,nm,nm/s,True,1.0,2022-12-14T08:08:50.518997,2022-12-14T08:09:00.018997,9.5,951,951,-9.50221100081342,-13.442901973499986,438.6329513527022,201.60615079585705,388.6518386863603,0.3886518386863603,0.00038865183868636027,2022-12-14T08:09:02.078000,0.646929192286266,0.9591649390460945,0.651930484894067,0.8860525354691093,1.9277776851158799,201,388.6518386863603,0.3886518386863603,0.00038865183868636027,2022-12-14T08:09:02.078000,0.6120688659879131,0.9591649390460945,0.5570038851312614,0.8860525354691093,1.9277776851158799,301,388.6518386863603,0.3886518386863603,0.00038865183868636027,2022-12-14T08:09:02.078000,0.6195863128056518,0.9591649390460945,0.7098013033573009,0.8860525354691093,1.9277776851158799,501
20221214080718_ML4.0,VN,CCVB,HHZ,199.2996368408203,4.0,4.064614800301479,4.064614800301479,0.1087505824401228,4.080918894036359,0.0163040937348801,0.064614800301479,2022-12-14T08:08:53.558998,Pg,header,HHZ,nm,nm/s,True,1.0,2022-12-14T08:08:43.558998,2022-12-14T08:08:53.058998,9.5,951,951,-13.793994144576706,16.784827717502537,289.1808349648892,138.9836654631292,251.75175781645171,0.2517517578164517,0.0002517517578164517,2022-12-14T08:08:54.138000,0.8656977625031302,5.381700299232597,0.7738074147996353,0.870568610976651,1.811376588590827,201,251.75175781645171,0.2517517578164517,0.0002517517578164517,2022-12-14T08:08:54.138000,0.8339467843085897,5.381700299232597,0.7497752131394337,0.870568610976651,1.811376588590827,301,251.75175781645171,0.2517517578164517,0.0002517517578164517,2022-12-14T08:08:54.138000,0.8536493981416069,5.381700299232597,0.9247360014322026,0.870568610976651,1.811376588590827,501
20221214080718_ML4.0,VN,DBVB,HHZ,223.22586059570312,4.0,4.288482258337233,4.288482258337233,0.0725949303783258,4.187716344186193,-0.1007659141510393,0.2884822583372326,2022-12-14T08:08:57.439002,Pg,header,HHZ,nm,nm/s,True,1.0,2022-12-14T08:08:47.439002,2022-12-14T08:08:56.939002,9.5,951,951,43.74181129423006,17.393264285898862,228.6364798733316,100.69190536057596,197.24464942899567,0.19724464942899567,0.00019724464942899567,2022-12-14T08:08:57.758000,1.1251644351824528,10.531678932167932,0.8462830087866925,0.8626998173619208,1.9588928099301133,201,197.24464942899567,0.19724464942899567,0.00019724464942899567,2022-12-14T08:08:57.758000,0.9769208388432645,10.531678932167932,0.6852557758309582,0.8626998173619208,1.9588928099301133,301,269.1481223293863,0.2691481223293863,0.0002691481223293863,2022-12-14T08:09:01.748000,0.909517213971708,10.531678932167932,0.8788743502509134,1.1771880081363166,2.6729866851319533,501
20221214080718_ML4.0,VN,HBVB,HHZ,25.261384963989254,4.0,4.511710243429174,4.511710243429174,0.1157588042513769,4.363148310233297,-0.1485619331958769,0.5117102434291736,2022-12-14T08:08:25.119003,Pg,header,HHZ,nm,nm/s,True,1.0,2022-12-14T08:08:15.119003,2022-12-14T08:08:24.619003,9.5,951,951,55.19035380370484,51.37644613954923,767.8636012744201,295.0485878038129,20761.182693071296,20.761182693071298,0.020761182693071294,2022-12-14T08:08:25.447999,0.1872106802775822,0.2709648361065531,0.20385632038911522,27.03759190905005,70.36530100891743,201,20761.182693071296,20.761182693071298,0.020761182693071294,2022-12-14T08:08:25.447999,0.2129919165168513,0.2754202814287972,0.26190390603082403,27.03759190905005,70.36530100891743,301,72062.6122288037,72.0626122288037,0.0720626122288037,2022-12-14T08:08:29.107999,0.17682819840209452,0.3358601352528735,0.18041558431307203,93.8481940141474,244.23981407672557,501
