event,header_ML_mean,ML_ref_mean,ML_ref_median,ML_ref_std,n_station,distance_km_min,distance_km_max,distance_km_mean,Pd_3s_cm_mean,Pd_3s_cm_median,Pd_3s_cm_std,Pd_peak_t_rel_3s_sec_mean,Pd_peak_t_rel_3s_sec_median,Pd_peak_t_rel_3s_sec_std,Mpd_Wu_3s_mean,Mpd_Wu_3s_median,Mpd_Wu_3s_std,Mpd_Wu_3s_minus_header_ML_mean,Mpd_Wu_3s_minus_header_ML_median,Mpd_Wu_3s_minus_header_ML_std,header_ML_minus_Mpd_Wu_3s_mean,header_ML_minus_Mpd_Wu_3s_median,header_ML_minus_Mpd_Wu_3s_std,tau_c_3s_sec_mean,tau_c_3s_sec_median,tau_c_3s_sec_std,tau_p_max_3s_sec_mean,tau_p_max_3s_sec_median,tau_p_max_3s_sec_std,tau_p_end_3s_sec_mean,tau_p_end_3s_sec_median,tau_p_end_3s_sec_std,snr_absmax_3s_mean,snr_absmax_3s_median,snr_absmax_3s_std,snr_rms_3s_mean,snr_rms_3s_median,snr_rms_3s_std
20191119004305_ML3.7,3.700000047683716,4.2689674277095575,4.15143997555011,0.2474677740236357,6,122.42530059814452,332.826904296875,214.31162134806314,0.0005988197156625391,0.000552701361030968,0.00023339938392123732,1.7566666666666668,1.9000000000000001,0.8873706478505284,4.6150793094427165,4.646839522701194,0.2701936060928295,0.9150792617590007,0.9468394750174784,0.27019360609282955,-0.9150792617590007,-0.9468394750174784,0.27019360609282955,1.2069322121325479,0.6927662626159639,1.3718888774888134,4.539543024034658,3.1547490908354474,4.5496321008335645,1.0847184550910975,0.7175641495606802,1.0724908141043237,2.4362818433176816,2.246233652214593,1.1738109505866496,4.8785982147918086,4.14227755500869,2.5235301686906135
20191120083156_ML4.1,4.099999904632568,4.551126313359168,4.63509336556273,0.28840759895483103,10,31.37030792236328,402.0098571777344,277.7586639404297,0.002106585815440524,0.0004989992197390329,0.0033853794382852284,1.442,1.4900000000000002,1.1288912948355814,4.893066932312925,4.845875945623263,0.6928706757116195,0.7930670276803561,0.7458760409906944,0.6928706757116195,-0.7930670276803561,-0.7458760409906944,0.6928706757116195,2.3607194842835026,2.613936843892148,1.8851240030153391,6.024999510335257,5.166705956828807,5.185862418921133,2.4488933261155887,2.039718768776284,2.535254776425661,7.602467923743068,1.854673281175208,10.743316845969064,17.1138223031229,3.919087068601024,24.86753958941067
20191120083223_ML4.1,4.099999904632568,4.5800156289208145,4.578218444805701,0.06575645600964569,6,241.98011779785156,387.4294128417969,316.083501180013,0.001073212214945875,0.0004101826332603033,0.001774217391261742,1.7866666666666668,1.98,1.0477722398816771,4.874363248897072,4.7842230201530285,0.8566179643368562,0.7743633442645028,0.6842231155204597,0.8566179643368562,-0.7743633442645028,-0.6842231155204597,0.8566179643368562,2.0353951918849207,1.633632840248419,1.5460867435651577,4.4885666301160265,3.6027553871135565,2.975109978833303,2.0171125396040406,2.055303317294607,1.3621295215195361,5.116956880091372,1.7181504712481406,9.284580978479305,11.728637781462922,4.168862207186152,21.2182522250333
20191122080718_ML3.2,3.200000047683716,3.515236955480742,3.550402003499152,0.11113908735092944,4,130.68008422851562,243.9780731201172,175.61928176879883,0.0003078954109548504,0.0002680980293667582,0.00012984674387814043,1.785,1.7800000000000002,0.8617230800359629,4.103326700496719,4.168801762090902,0.3481398164658928,0.9033266528130037,0.9688017144071859,0.3481398164658928,-0.9033266528130037,-0.9688017144071859,0.3481398164658928,3.2171084938547905,2.7130073910677726,2.1707334882827682,6.137576489402946,6.945643931507384,2.7878941685857956,3.8541252354887554,2.989430201119607,3.276970004319046,1.3109066563475666,1.0437707936142484,0.7014270284853542,2.1550447853209542,1.8363542624818847,0.9970026371556112
20191127212856_ML3.0,3.0,3.328883445147598,3.328883445147598,0.09594785682290947,2,28.221269607543945,48.03705978393555,38.129164695739746,0.0007695828611937368,0.0007695828611937368,0.0005807422421370859,1.375,1.375,1.7465537495307721,3.328219299768425,3.328219299768425,0.8087253639626133,0.328219299768425,0.328219299768425,0.8087253639626133,-0.328219299768425,-0.328219299768425,0.8087253639626133,1.225345104262235,1.225345104262235,1.4385715544823736,4.644526560961906,4.644526560961906,5.797848171144098,1.466603433859413,1.466603433859413,1.777214650398979,5.265671662198571,5.265671662198571,6.738001170292363,14.002338659853745,14.002338659853745,17.778532122116783
20191127234457_ML4.8,4.800000190734863,5.459766506878878,5.453381730454037,0.28378299492690406,6,109.15680694580078,404.55755615234375,249.38224919637045,0.0029581405208330435,0.0012529700265711571,0.004202513691671697,1.3800000000000001,0.9650000000000001,0.9534568684528946,5.367352873690554,5.281772477567243,0.3760423005497066,0.5673526829556906,0.48177228683237905,0.37604230054970683,-0.5673526829556906,-0.48177228683237905,0.37604230054970683,1.3172106272187059,1.1492715210593762,0.7439091685835562,2.8988427994910473,2.4937692179851103,2.2523382108279546,1.1433399847217414,1.012765610962752,0.5502254122777257,4.816977105234825,4.452471594340307,1.622392763788525,11.820352171747894,8.75419103193645,6.724951235010962
20191128005956_ML3.0,3.0,3.3586379351032014,3.3461295730833456,0.03716039966719184,3,110.00868225097656,163.61985778808594,129.39576721191406,0.00020350586040320394,0.00015492908539737753,8.57692421810119e-05,1.07,1.1300000000000001,0.39344631145812003,3.6183470127390955,3.6933254926035666,0.19728974642003952,0.6183470127390956,0.6933254926035666,0.19728974642003955,-0.6183470127390956,-0.6933254926035666,0.19728974642003955,0.8717800195660143,0.6504915923005845,0.4287370472239175,4.512961504906779,3.747255278298826,4.170270634721382,0.8900370619655625,0.6468406497766584,0.4311294898898757,0.7489937477539726,0.6525684427770893,0.2150729883065777,1.50777606044412,1.2758268455750734,0.4902451620554399
20191201103456_ML3.0,3.0,3.2383954372172994,3.2383954372172994,0.04748387128880547,2,64.21571350097656,126.19019317626952,95.20295333862305,0.0004176999323862973,0.0004176999323862973,1.6036673071452014e-05,1.635,1.635,1.067731239591687,3.794995508611148,3.794995508611148,0.41350130203955177,0.794995508611148,0.794995508611148,0.41350130203955177,-0.794995508611148,-0.794995508611148,0.41350130203955177,0.796105198450962,0.796105198450962,0.0749830805245742,3.3123610587886274,3.3123610587886274,3.133062035561337,0.7602265853789506,0.7602265853789506,0.0900854589176628,1.8632047348902823,1.8632047348902823,0.17822315643389824,3.75260457541106,3.75260457541106,0.13322718188234597
20191203060956_ML3.1,3.0999999046325684,3.3422791605825592,3.3724838021451173,0.09649200943887616,4,60.218074798583984,175.1492919921875,119.42793560028076,0.0002479339434002353,0.0002035063771067736,0.00010755837144599191,2.2125,2.16,0.4168432958958718,3.6243597722066103,3.743194288086087,0.4562332519122863,0.5243598675740418,0.6431943834535185,0.4562332519122863,-0.5243598675740418,-0.6431943834535185,0.4562332519122863,0.7259233150541291,0.6081329347697407,0.40447277341073534,3.380265387454094,2.7994041014697215,2.684414889629093,0.7602798014541996,0.6659058170938574,0.4207722912399378,1.0600762168348723,1.1227826490760198,0.42819691412806676,2.2817790103615865,2.28544572545603,0.867023716429887
20191228034224_ML3.0,3.0,3.4683444941455663,3.4444780403293382,0.11247286736901978,4,131.878662109375,212.51104736328125,167.65112686157227,0.00036513855577454475,0.0002759050638658699,0.00023232480784380726,1.6275,1.55,0.6057158299620927,4.136919403993963,4.024555941984366,0.3166460388848476,1.1369194039939632,1.0245559419843664,0.31664603888484777,-1.1369194039939632,-1.0245559419843664,0.31664603888484777,1.2460955638880304,1.3386732525641203,0.3925097977072508,12.061005684685773,3.2592586121983977,18.347868012852413,1.1311523796088767,1.1667829615479186,0.30958744386024417,1.4692434789669289,1.4637112671767518,0.030107490622363085,2.845612266235572,2.7612409436598835,0.3014341338780585
