EVENT,filename,distance,maxdisp,LogA0Huton83,LogA0Le08,LogA0Nguyen11,MLHuton83,MLLe08,MLNguyen11
20191228_034300_M3.0,VCVB.HHN..SAC,212.51104736328125,29241990.242800344,-3.5760393575299743,-3.5943000088175996,-3.6236491331337164,8.361046285393458,14.238306936681084,7.451276837901149
20191228_034300_M3.0,VCVB.HHZ..SAC,212.51104736328125,3482422.920090381,-3.5760393575299743,-3.5943000088175996,-3.6236491331337164,7.4369208700631955,13.31418152135082,7.5813521746825465
20191228_034300_M3.0,VTVB.HHE..SAC,164.14962768554688,27467264.09153211,-3.360159087573968,-3.367941356492409,-3.4053092508134,8.117974490746837,13.984756759665277,7.542093213996765
20191228_034300_M3.0,VTVB.HHN..SAC,164.14962768554688,19841259.019044515,-3.360159087573968,-3.367941356492409,-3.4053092508134,7.976728314246728,13.84351058316517,7.481512631902168
20191228_034300_M3.0,VTVB.HHZ..SAC,164.14962768554688,48736394.28409172,-3.360159087573968,-3.367941356492409,-3.4053092508134,8.367012482745853,14.233794751664295,7.7581089933767124
20200101_040531_M3.2,BKVB.HHE..SAC,228.38775634765625,6637278.380970057,-3.640779687565912,-3.6629885235320403,-3.68571682650614,7.781769720784833,13.662978556750964,7.478318607671106
20200101_040531_M3.2,BKVB.HHN..SAC,228.38775634765625,25034595.047211602,-3.640779687565912,-3.6629885235320403,-3.68571682650614,8.35832025832845,14.239529094294578,7.48718914002761
20200101_040531_M3.2,BKVB.HHZ..SAC,228.38775634765625,1119295.8788986062,-3.640779687565912,-3.6629885235320403,-3.68571682650614,7.008724592313726,12.889933428279857,7.572545831183122
20200101_040531_M3.2,CBVB.HHE..SAC,241.22996520996094,21443249.409943115,-3.69142332641112,-3.7169685360648126,-3.7332207656123764,8.3417139233777,14.226259133031391,7.71030388592823
20200101_040531_M3.2,CBVB.HHN..SAC,241.22996520996094,37665911.649567224,-3.69142332641112,-3.7169685360648126,-3.7332207656123764,8.586371809784264,14.470917019437959,7.912053882971492
20200101_040531_M3.2,CBVB.HHZ..SAC,241.22996520996094,2414582.4380482747,-3.69142332641112,-3.7169685360648126,-3.7332207656123764,7.39326536397034,13.27781057362403,7.409090720931333
20200101_040531_M3.2,HGVB.HHE..SAC,116.58329772949219,10282530.096848272,-3.10530876546149,-3.1063090405903493,-3.123907207225278,7.436408754819556,13.296409029948418,7.386832676557109
20200101_040531_M3.2,HGVB.HHN..SAC,116.58329772949219,3103057.326403458,-3.10530876546149,-3.1063090405903493,-3.123907207225278,6.9160985643491415,12.776098839478003,7.448395440532934
20200101_040531_M3.2,HGVB.HHZ..SAC,116.58329772949219,1115526.4211872946,-3.10530876546149,-3.1063090405903493,-3.123907207225278,6.47178862644617,12.331788901575027,7.339386143587813
20200101_040531_M3.2,MLVB.HHE..SAC,142.66116333007812,9477781.479440777,-3.2519089935729064,-3.256057163778828,-3.2889693828034483,7.547615684920139,13.410763855126058,7.308501067334705
