event,sta,ML_cal,ML_header,ML_diff
20070906185059_ML4.2,SPVB,2.8114025914721226,4.199999809265137,-1.388597217793014
20070906185059_ML4.2,TGVB,4.8130863673482045,4.199999809265137,0.6130865580830678
20070906185059_ML4.2,TIYB,5.230987134280504,4.199999809265137,1.0309873250153672
20070906185059_ML4.2,TTVB,5.43585690489099,4.199999809265137,1.2358570956258532
20070906185059_ML4.2,VTVB,2.3062211140852127,4.199999809265137,-1.893778695179924
20070906185146,BCVB,2.4252123888178954,4.199999809265137,-1.7747874204472414
20070906185146,BGVB,5.5499411929405245,4.199999809265137,1.3499413836753875
20070906185146,CBVB,2.1013342333008356,4.199999809265137,-2.098665575964301
20070906185146,HGVB,2.081229412446188,4.199999809265137,-2.118770396818949
20070906185146,HN1B,2.9414445355849717,4.199999809265137,-1.258555273680165
20070906185146,LCVB,5.060119022677963,4.199999809265137,0.8601192134128262
20070906185146,MCVB,4.974410237976328,4.199999809265137,0.7744104287111915
20070906185146,PLVB,5.1870517060606325,4.199999809265137,0.9870518967954958
20070906185146,SLVB,5.117088190357693,4.199999809265137,0.9170883810925564
20070906185146,SPVB,2.8114025914721226,4.199999809265137,-1.388597217793014
20070906185146,TGVB,4.8130863673482045,4.199999809265137,0.6130865580830678
20070906185146,TIYB,5.230987134280504,4.199999809265137,1.0309873250153672
20070906185146,TTVB,5.43585690489099,4.199999809265137,1.2358570956258532
20070906185146,VTVB,2.3062211140852127,4.199999809265137,-1.893778695179924
20080110223559_ML2.3,DBVB,2.1718694981954427,2.299999952316284,-0.1281304541208414
20080110223559_ML2.3,HBVB,4.023670685875306,3.0999999046325684,0.9236707812427376
20080110223559_ML2.3,LAVB,3.969081445725534,3.0999999046325684,0.8690815410929655
20080110223559_ML2.3,LCVB,2.868463155614968,2.299999952316284,0.5684632032986836
20080110223559_ML2.3,MCVB,3.8146595999203,3.0999999046325684,0.7146596952877315
20080110223559_ML2.3,PLVB,3.621669041187596,3.0999999046325684,0.5216691365550279
20080110223559_ML2.3,THVB,3.4800819857512817,3.0999999046325684,0.3800820811187133
20080210024059_ML3.1,HBVB,4.62009169406561,3.0999999046325684,1.5200917894330417
20080210024059_ML3.1,HGVB,3.685064118201779,3.0999999046325684,0.5850642135692112
20080210024059_ML3.1,LAVB,4.050947906011801,3.0999999046325684,0.9509480013792332
20080210024059_ML3.1,LCVB,3.7452791865802904,3.0999999046325684,0.645279281947722
20080210024059_ML3.1,MCVB,3.941286733702509,3.0999999046325684,0.8412868290699405
20080210024059_ML3.1,SPVB,4.6367831197434874,3.0999999046325684,1.536783215110919
20080225230059_ML3.0,BCVB,4.098723344036751,3.0,1.0987233440367508
20080225230059_ML3.0,CBVB,3.87991507942896,3.0,0.8799150794289599
20080225230059_ML3.0,DHVB,4.632765706008139,3.0,1.632765706008139
20080225230059_ML3.0,HGVB,3.9668646292249097,3.0,0.9668646292249096
20080225230059_ML3.0,LCVB,4.3763782044729425,3.0,1.3763782044729425
20080225230059_ML3.0,MCVB,3.750339861275651,3.0,0.7503398612756516
20080225230059_ML3.0,MTVB,4.167029784379251,3.0,1.1670297843792508
20080225230059_ML3.0,SPVB,4.5164056007315585,3.0,1.5164056007315585
20080225230059_ML3.0,TGVB,3.8682328228817897,3.0,0.8682328228817893
20080514114559_ML4.7,KMI,5.343036462660075,4.699999809265137,0.6430366533949385
20080514114559_ML4.7,HGVB,4.728386608747186,4.699999809265137,0.0283867994820496
20080514114559_ML4.7,SPVB,5.001010039434595,4.699999809265137,0.3010102301694584
20080514114559_ML4.7,TGVB,4.653749239653633,4.699999809265137,-0.0462505696115034
20080514114959_ML3.5,KMI,5.2582283936273,3.5,1.7582283936273004
20080514114959_ML3.5,HGVB,4.779659054021078,3.5,1.279659054021078
20080514114959_ML3.5,SPVB,4.876394123031819,3.5,1.3763941230318189
20080514141559_ML3.7,KMI,4.504153011982492,3.700000047683716,0.8041529642987761
20080514141559_ML3.7,HGVB,4.089262244317606,3.700000047683716,0.38926219663389
20080514141559_ML3.7,LCVB,4.641562711800238,3.700000047683716,0.941562664116522
20080514141559_ML3.7,SPVB,5.086745880128642,3.700000047683716,1.3867458324449258
20080514141559_ML3.7,TGVB,4.045982572700499,3.700000047683716,0.3459825250167831
20080807190958_ML3.0,CBVB,3.9070606060857,3.0,0.9070606060857004
20080807190958_ML3.0,DBVB,3.9350065868363098,3.0,0.9350065868363098
20080807190958_ML3.0,DHVB,4.4301285455313195,3.0,1.4301285455313195
20080807190958_ML3.0,HBVB,4.4571276772893835,3.0,1.4571276772893835
20080807190958_ML3.0,HGVB,3.800476339448907,3.0,0.800476339448907
20080807190958_ML3.0,MTVB,4.03922876087084,3.0,1.0392287608708397
20080807190958_ML3.0,SLVB,3.678148600184725,3.0,0.6781486001847252
20080807190958_ML3.0,SPVB,4.669898904598597,3.0,1.6698989045985968
20080807190958_ML3.0,TGVB,3.630095086635737,3.0,0.6300950866357371
20080807190958_ML3.0,THVB,4.023146578181075,3.0,1.0231465781810751
20080807190958_ML3.0,TTVB,3.208936111467143,3.0,0.208936111467143
20080807190958_ML3.0,VTVB,4.063543335806356,3.0,1.0635433358063562
20080914233801_ML3.8,KMI,4.724061118345185,3.799999952316284,0.9240611660289008
20080914233801_ML3.8,HGVB,4.103236445696315,3.799999952316284,0.3032364933800311
20080914233801_ML3.8,LCVB,4.291128462245281,3.799999952316284,0.4911285099289966
20080914233801_ML3.8,SLVB,4.588694778409167,3.799999952316284,0.7886948260928826
20080914233801_ML3.8,SPVB,4.845608601018287,3.799999952316284,1.0456086487020029
20080914233801_ML3.8,TGVB,4.248603240393457,3.799999952316284,0.4486032880771731
20080914233801_ML3.8,TTVB,4.297810652013021,3.799999952316284,0.4978106996967364
20080914233801_ML3.8,VTVB,4.318327315981506,3.799999952316284,0.5183273636652217
