event,ML_mean,ML_std,ML_median,n_component,n_station,distance_min,distance_max,header_ML_mean
20180202035239_ML3.4,4.083853248254054,0.2772224843471893,3.956967256544769,15,5,62.21481704711914,166.53501892089844,3.4000000953674316
20180202154633_ML2.4,3.883876506513969,0.7118170541980279,3.863159063709874,12,4,59.97964096069336,147.10580444335938,2.700000047683716
20180202213138_ML3.0,3.9708907763252492,0.26094895433129234,3.918779494609868,9,3,146.77467346191406,165.81149291992188,3.0
20180208220204_ML2.2,3.453755991581245,0.20916148596637013,3.4164585787628923,9,3,68.36201477050781,130.472900390625,2.200000047683716
20180209124828_ML3.9,3.7258513490166205,1.2166338736629665,4.465874641452985,24,8,29.001569747924805,304.0901794433594,3.9000000953674316
20180209124939_ML3.9,4.34616892876615,1.0283121201423961,4.599630211774928,6,2,155.0234832763672,199.3773651123047,3.9000000953674316
20180209145745_ML5.0,4.944742311780414,1.129194421895569,5.453367202075994,15,5,224.4304656982422,440.3905334472656,5.0
20180228172231_ML3.1,4.050590695038079,0.24104164739938583,4.052123678722485,18,6,108.58670806884766,216.59246826171875,3.0999999046325684
20180312200656_ML2.9,3.5846391325669122,0.20483298182182139,3.532070458295835,15,5,53.965606689453125,324.6901550292969,2.9000000953674316
20180318205257_ML1.8,2.9695413234893695,0.4493930809322811,3.0436522746542187,9,3,55.289024353027344,132.63775634765625,1.7999999523162842
20180326043955_ML2.6,3.03128320251829,0.8738370015705041,3.349221120249521,12,4,29.27454376220703,174.5013427734375,2.5999999046325684
20180504001709_ML4.3,4.706114846698061,0.7046694259538417,4.8429380828643716,15,5,188.87542724609375,373.49420166015625,4.300000190734863
20180608202025_ML3.4,3.642379702364637,0.14618230685528674,3.699527734306119,6,2,205.88389587402344,263.6727294921875,3.4000000953674316
20180619012405_ML3.2,3.8613283294324443,0.2003669521190555,3.82968908244696,6,2,185.322998046875,203.036865234375,3.200000047683716
20180619012405_ML3.3,3.9178108516385155,0.2086722398177472,3.964980539012529,6,2,189.49215698242188,205.66603088378906,3.299999952316284
20180703142033_ML3.2,3.732608796467429,0.2132939826862923,3.7385705601592822,15,5,106.17070007324219,223.7196502685547,3.200000047683716
20180729074308_ML3.5,4.096823214645867,0.2680672289622734,4.04905992508605,15,5,155.77264404296875,276.6466064453125,3.5
20180730060025_ML3.5,3.895406021219752,0.2325221659943204,3.8103926402952557,18,6,171.05551147460938,331.80609130859375,3.5
20180812174454_ML5.1,5.268992353836578,0.21354077063711746,5.209295260576933,18,6,246.86846923828125,355.26641845703125,5.099999904632568
20180813195102_ML5.0,5.184856797391344,0.39013185171452663,5.228688104892737,27,9,232.10073852539062,519.9085083007812,5.0
20180820205911_ML3.4,4.047029169776683,0.43503950943458986,4.119772214990711,18,6,98.1001968383789,242.91050720214844,3.4000000953674316
20180907054303_ML3.8,4.032655450926966,0.20900673940792772,4.024692658198436,18,6,111.57722473144531,280.6319885253906,3.799999952316284
20180908023055_ML5.9,4.036475097200637,1.116339960552076,3.583030085114616,21,7,264.75335693359375,520.3749389648438,5.900000095367432
20180919150834_ML3.3,3.6914641280238847,0.32252331468205353,3.573186030994316,12,4,97.90653228759766,225.71107482910156,3.299999952316284
20181008140206_ML3.9,3.9331538788020044,0.17346141980371943,3.9084517916914177,12,4,309.3472900390625,369.2353515625,3.9000000953674316
20181012180509_ML3.2,3.5181250328490195,0.11182686796800982,3.5233827221150227,6,2,180.083984375,266.1493835449219,3.200000047683716
20181106101857_ML3.5,3.524336641197463,0.8640915114499699,3.8382732349969793,12,4,22.776182174682617,274.186767578125,3.5
20181227072929_ML4.2,4.624831683214046,0.4186447226562687,4.43270649843077,15,5,136.21939086914062,303.5319519042969,4.199999809265137
20181227073005_M4.2,4.643396559466093,0.43416723635882376,4.443682839328629,15,5,140.18182373046875,306.6951904296875,4.199999809265137
20190106144555_ML3.7,4.568636809161069,0.18414595461767244,4.495333229156266,9,3,208.9304962158203,243.92298889160156,3.700000047683716
20190109065709_ML3.3,4.163167254629903,0.23931886108540298,4.099267080796551,9,3,161.9755859375,211.89100646972656,3.299999952316284
20190109141220_ML3.5,4.093957524360035,0.577389851755633,4.318631114288831,12,4,137.65867614746094,234.9042205810547,3.5
20190109152047_ML3.5,4.146274232788699,0.4227688614878549,4.263114662568578,21,7,142.4121551513672,239.9012451171875,3.5
20190110090724_ML3.8,4.407172947588619,0.4975527047108863,4.604449407495574,21,7,143.74867248535156,241.0370635986328,3.799999952316284
20190110120003_ML4.3,4.487369995300507,0.9565609714829597,4.8035380102048375,18,6,145.91387939453125,399.0540771484375,4.300000190734863
20190112094645_ML3.0,3.597087471067366,0.8733051953015104,3.8743090541295673,27,9,21.187610626220703,194.05812072753906,3.0
20190114160034_ML3.3,3.6002099499610396,0.7056214356976767,3.6123959853192193,6,2,184.56021118164062,231.2349395751953,3.299999952316284
20190115182600_ML3.7,4.423721142637447,0.5187413545584387,4.578487348275375,15,5,135.19187927246094,232.75543212890625,3.700000047683716
20190117053501_ML3.7,4.1646159582120665,0.7417584640038515,4.39727184890579,27,9,87.17134857177734,287.5003662109375,3.700000047683716
