event,net,sta,comp,distance,header_ML,ML,origin_time,p_pick,p_source,s_pick,s_source,surface_pick,amp_window_start,amp_window_end,peak_time,amplitude_raw_velocity,amplitude_scaled_mm,peak_signed,amp_scale,amp_scale_mode,event_average_ML,reference_ML,reference_ML_source,ML_diff_calc_minus_ref
20060106182759_ML3.6,TW,TTVB,HHZ,212.66404724121094,3.5999999046325684,4.237010091024077,2006-01-06T18:28:15.188000,2006-01-06T18:28:47.897999,header,2006-01-06T18:29:11.987996,header,2006-01-06T18:30:36.964032,2006-01-06T18:29:11.987996,2006-01-06T18:30:34.964032,2006-01-06T18:29:13.358000,4574.405063819668,4.574405063819667,4574.405063819668,0.001,auto,4.570865499248653,3.5999999046325684,header,0.6370101863915085
20060106182808,TW,DBVB,HHE,97.6240234375,3.5999999046325684,4.9079664222054875,2006-01-06T18:27:59.998000,2006-01-06T18:28:16.557997,header,2006-01-06T18:28:29.827994,header,2006-01-06T18:29:05.080682,2006-01-06T18:28:29.827994,2006-01-06T18:29:03.080682,2006-01-06T18:28:40.518000,83955.48563194966,83.95548563194966,-83955.48563194966,0.001,auto,4.570865499248653,3.5999999046325684,header,1.3079665175729192
20060106182808,TW,DBVB,HHN,97.6240234375,3.5999999046325684,4.960232509083078,2006-01-06T18:27:59.998000,2006-01-06T18:28:16.557997,header,2006-01-06T18:28:29.827994,header,2006-01-06T18:29:05.080682,2006-01-06T18:28:29.827994,2006-01-06T18:29:03.080682,2006-01-06T18:28:40.238000,94692.40893896756,94.69240893896756,94692.40893896756,0.001,auto,4.570865499248653,3.5999999046325684,header,1.36023260445051
20060106182808,TW,DBVB,HHZ,97.6240234375,3.5999999046325684,4.574562011729789,2006-01-06T18:27:59.998000,2006-01-06T18:28:16.557997,header,2006-01-06T18:28:29.827994,header,2006-01-06T18:29:05.080682,2006-01-06T18:28:29.827994,2006-01-06T18:29:03.080682,2006-01-06T18:28:41.378000,38962.30732440604,38.96230732440604,38962.30732440604,0.001,auto,4.570865499248653,3.5999999046325684,header,0.9745621070972206
20060106182808,TW,DHVB,HHE,289.0690612792969,3.5999999046325684,4.430849503324754,2006-01-06T18:28:27.948000,2006-01-06T18:29:11.527995,header,2006-01-06T18:29:40.808001,header,2006-01-06T18:31:40.660708,2006-01-06T18:29:40.808001,2006-01-06T18:31:38.660708,2006-01-06T18:29:45.928000,3645.8364959228334,3.6458364959228335,-3645.8364959228334,0.001,auto,4.570865499248653,3.5999999046325684,header,0.8308495986921853
20060106182808,TW,DHVB,HHN,289.0690612792969,3.5999999046325684,4.507734086970327,2006-01-06T18:28:27.948000,2006-01-06T18:29:11.527995,header,2006-01-06T18:29:40.808001,header,2006-01-06T18:31:40.660708,2006-01-06T18:29:40.808001,2006-01-06T18:31:38.660708,2006-01-06T18:29:41.168000,4351.92870219486,4.3519287021948605,4351.92870219486,0.001,auto,4.570865499248653,3.5999999046325684,header,0.9077341823377587
20060106182808,TW,DHVB,HHZ,289.0690612792969,3.5999999046325684,4.44606456684581,2006-01-06T18:28:27.948000,2006-01-06T18:29:11.527995,header,2006-01-06T18:29:40.808001,header,2006-01-06T18:31:40.660708,2006-01-06T18:29:40.808001,2006-01-06T18:31:38.660708,2006-01-06T18:29:47.188000,3775.8284248659484,3.7758284248659484,3775.8284248659484,0.001,auto,4.570865499248653,3.5999999046325684,header,0.8460646622132417
20060106182808,TW,LCVB,HHE,74.96392059326172,3.5999999046325684,4.7653271780772055,2006-01-06T18:27:59.998000,2006-01-06T18:28:12.788000,header,2006-01-06T18:28:22.307997,header,2006-01-06T18:28:49.973947,2006-01-06T18:28:22.307997,2006-01-06T18:28:47.973947,2006-01-06T18:28:36.768000,89445.67052485651,89.44567052485651,89445.67052485651,0.001,auto,4.570865499248653,3.5999999046325684,header,1.1653272734446372
20060106182808,TW,LCVB,HHN,74.96392059326172,3.5999999046325684,4.7059106594041875,2006-01-06T18:27:59.998000,2006-01-06T18:28:12.788000,header,2006-01-06T18:28:22.307997,header,2006-01-06T18:28:49.973947,2006-01-06T18:28:22.307997,2006-01-06T18:28:47.973947,2006-01-06T18:28:36.008000,78008.65776722741,78.00865776722742,-78008.65776722741,0.001,auto,4.570865499248653,3.5999999046325684,header,1.1059107547716192
20060106182808,TW,LCVB,HHZ,74.96392059326172,3.5999999046325684,4.45400798420258,2006-01-06T18:27:59.998000,2006-01-06T18:28:12.788000,header,2006-01-06T18:28:22.307997,header,2006-01-06T18:28:49.973947,2006-01-06T18:28:22.307997,2006-01-06T18:28:47.973947,2006-01-06T18:28:32.428000,43675.725741317285,43.67572574131729,-43675.725741317285,0.001,auto,4.570865499248653,3.5999999046325684,header,0.8540080795700113
